Geography,Sex,Fiscal year,Counts,"Rate (per 100,000)"
Canada,Both sexes,2015-2016,101185.0,544.0
Canada,Both sexes,2016-2017,101655.0,538.0
Canada,Both sexes,2017-2018,106765.0,557.0
Canada,Both sexes,2018-2019,109105.0,560.0
Canada,Both sexes,2019-2020,111030.0,560.0
Canada,Both sexes,2020-2021*,105555.0,528.0
Canada,Both sexes,2021-2022*,114070.0,573.0
Canada,Both sexes,2022-2023*,122025.0,601.0
Newfoundland and Labrador,Both sexes,2015-2016,1425.0,475.0
Newfoundland and Labrador,Both sexes,2016-2017,1435.0,473.0
Newfoundland and Labrador,Both sexes,2017-2018,1485.0,487.0
Newfoundland and Labrador,Both sexes,2018-2019,1455.0,475.0
Newfoundland and Labrador,Both sexes,2019-2020,1380.0,447.0
Newfoundland and Labrador,Both sexes,2020-2021*,1470.0,473.0
Newfoundland and Labrador,Both sexes,2021-2022*,1390.0,442.0
Newfoundland and Labrador,Both sexes,2022-2023*,1395.0,438.0
Prince Edward Island,Both sexes,2015-2016,415.0,509.0
Prince Edward Island,Both sexes,2016-2017,445.0,539.0
Prince Edward Island,Both sexes,2017-2018,440.0,525.0
Prince Edward Island,Both sexes,2018-2019,460.0,539.0
Prince Edward Island,Both sexes,2019-2020,475.0,547.0
Prince Edward Island,Both sexes,2020-2021*,425.0,484.0
Prince Edward Island,Both sexes,2021-2022*,415.0,463.0
Prince Edward Island,Both sexes,2022-2023*,490.0,535.0
Nova Scotia,Both sexes,2015-2016,2660.0,476.0
Nova Scotia,Both sexes,2016-2017,2685.0,475.0
Nova Scotia,Both sexes,2017-2018,2775.0,485.0
Nova Scotia,Both sexes,2018-2019,2805.0,484.0
Nova Scotia,Both sexes,2019-2020,3000.0,510.0
Nova Scotia,Both sexes,2020-2021*,3000.0,502.0
Nova Scotia,Both sexes,2021-2022*,3150.0,516.0
Nova Scotia,Both sexes,2022-2023*,3470.0,556.0
New Brunswick,Both sexes,2015-2016,2330.0,542.0
New Brunswick,Both sexes,2016-2017,2360.0,541.0
New Brunswick,Both sexes,2017-2018,2455.0,557.0
New Brunswick,Both sexes,2018-2019,2480.0,557.0
New Brunswick,Both sexes,2019-2020,2355.0,524.0
New Brunswick,Both sexes,2020-2021*,2335.0,513.0
New Brunswick,Both sexes,2021-2022*,0.0,0.0
New Brunswick,Both sexes,2022-2023*,0.0,0.0
Quebec,Both sexes,2015-2016,23100.0,546.0
Quebec,Both sexes,2016-2017,23620.0,553.0
Quebec,Both sexes,2017-2018,24050.0,557.0
Quebec,Both sexes,2018-2019,24585.0,563.0
Quebec,Both sexes,2019-2020,24720.0,558.0
Quebec,Both sexes,2020-2021*,22720.0,507.0
Quebec,Both sexes,2021-2022*,26865.0,592.0
Quebec,Both sexes,2022-2023*,28550.0,621.0
Ontario,Both sexes,2015-2016,37785.0,514.0
Ontario,Both sexes,2016-2017,37800.0,506.0
Ontario,Both sexes,2017-2018,40685.0,536.0
Ontario,Both sexes,2018-2019,41365.0,536.0
Ontario,Both sexes,2019-2020,42015.0,535.0
Ontario,Both sexes,2020-2021*,39760.0,508.0
Ontario,Both sexes,2021-2022*,43250.0,543.0
Ontario,Both sexes,2022-2023*,46530.0,573.0
Manitoba,Both sexes,2015-2016,4020.0,647.0
Manitoba,Both sexes,2016-2017,3700.0,589.0
Manitoba,Both sexes,2017-2018,3970.0,624.0
Manitoba,Both sexes,2018-2019,3865.0,601.0
Manitoba,Both sexes,2019-2020,4100.0,630.0
Manitoba,Both sexes,2020-2021*,4175.0,635.0
Manitoba,Both sexes,2021-2022*,4425.0,665.0
Manitoba,Both sexes,2022-2023*,4755.0,699.0
Saskatchewan,Both sexes,2015-2016,3380.0,644.0
Saskatchewan,Both sexes,2016-2017,3250.0,608.0
Saskatchewan,Both sexes,2017-2018,3255.0,599.0
Saskatchewan,Both sexes,2018-2019,3220.0,580.0
Saskatchewan,Both sexes,2019-2020,3200.0,574.0
Saskatchewan,Both sexes,2020-2021*,2840.0,500.0
Saskatchewan,Both sexes,2021-2022*,3120.0,539.0
Saskatchewan,Both sexes,2022-2023*,3260.0,557.0
Alberta,Both sexes,2015-2016,10035.0,513.0
Alberta,Both sexes,2016-2017,10105.0,504.0
Alberta,Both sexes,2017-2018,10530.0,512.0
Alberta,Both sexes,2018-2019,11040.0,523.0
Alberta,Both sexes,2019-2020,11780.0,542.0
Alberta,Both sexes,2020-2021*,10755.0,483.0
Alberta,Both sexes,2021-2022*,11820.0,515.0
Alberta,Both sexes,2022-2023*,13920.0,584.0
British Columbia,Both sexes,2015-2016,15795.0,630.0
British Columbia,Both sexes,2016-2017,16020.0,629.0
British Columbia,Both sexes,2017-2018,16885.0,653.0
British Columbia,Both sexes,2018-2019,17540.0,669.0
British Columbia,Both sexes,2019-2020,17745.0,664.0
British Columbia,Both sexes,2020-2021*,17815.0,655.0
British Columbia,Both sexes,2021-2022*,19360.0,695.0
British Columbia,Both sexes,2022-2023*,19465.0,681.0
Yukon Territory,Both sexes,2015-2016,105.0,552.0
Yukon Territory,Both sexes,2016-2017,120.0,619.0
Yukon Territory,Both sexes,2017-2018,85.0,428.0
Yukon Territory,Both sexes,2018-2019,140.0,692.0
Yukon Territory,Both sexes,2019-2020,125.0,604.0
Yukon Territory,Both sexes,2020-2021*,135.0,645.0
Yukon Territory,Both sexes,2021-2022*,135.0,628.0
Yukon Territory,Both sexes,2022-2023*,125.0,569.0
Northwest Territories,Both sexes,2015-2016,65.0,347.0
Northwest Territories,Both sexes,2016-2017,65.0,342.0
Northwest Territories,Both sexes,2017-2018,90.0,478.0
Northwest Territories,Both sexes,2018-2019,95.0,495.0
Northwest Territories,Both sexes,2019-2020,85.0,437.0
Northwest Territories,Both sexes,2020-2021*,70.0,360.0
Northwest Territories,Both sexes,2021-2022*,85.0,433.0
Northwest Territories,Both sexes,2022-2023*,0.0,0.0
Nunavut,Both sexes,2015-2016,60.0,560.0
Nunavut,Both sexes,2016-2017,50.0,453.0
Nunavut,Both sexes,2017-2018,55.0,482.0
Nunavut,Both sexes,2018-2019,60.0,512.0
Nunavut,Both sexes,2019-2020,55.0,468.0
Nunavut,Both sexes,2020-2021*,45.0,381.0
Nunavut,Both sexes,2021-2022*,60.0,496.0
Nunavut,Both sexes,2022-2023*,65.0,526.0
