Geography,Sex,Fiscal year,Counts,"Rate (per 100,000)",Population
Canada,Both sexes,2015-2016,82885.0,5588.0,713795.0
Canada,Both sexes,2016-2017,86790.0,5586.0,730955.0
Canada,Both sexes,2017-2018,89245.0,5616.0,749085.0
Canada,Both sexes,2018-2019,89360.0,5561.0,767380.0
Canada,Both sexes,2019-2020,90970.0,5526.0,787340.0
Canada,Both sexes,2020-2021*,94085.0,5610.0,798525.0
Canada,Both sexes,2021-2022*,95550.0,5819.0,803135.0
Canada,Both sexes,2022-2023*,99315.0,5761.0,827555.0
Newfoundland and Labrador,Both sexes,2015-2016,1380.0,5218.0,14175.0
Newfoundland and Labrador,Both sexes,2016-2017,1480.0,5083.0,14210.0
Newfoundland and Labrador,Both sexes,2017-2018,1440.0,5460.0,14155.0
Newfoundland and Labrador,Both sexes,2018-2019,1420.0,4682.0,14125.0
Newfoundland and Labrador,Both sexes,2019-2020,1475.0,5889.0,14045.0
Newfoundland and Labrador,Both sexes,2020-2021*,1465.0,5180.0,14000.0
Newfoundland and Labrador,Both sexes,2021-2022*,1570.0,5645.0,13885.0
Newfoundland and Labrador,Both sexes,2022-2023*,1590.0,5854.0,13690.0
Prince Edward Island,Both sexes,2015-2016,350.0,6082.0,2850.0
Prince Edward Island,Both sexes,2016-2017,355.0,6232.0,2940.0
Prince Edward Island,Both sexes,2017-2018,375.0,5649.0,3010.0
Prince Edward Island,Both sexes,2018-2019,415.0,5791.0,3010.0
Prince Edward Island,Both sexes,2019-2020,425.0,5917.0,3045.0
Prince Edward Island,Both sexes,2020-2021*,345.0,5543.0,3005.0
Prince Edward Island,Both sexes,2021-2022*,370.0,6586.0,3050.0
Prince Edward Island,Both sexes,2022-2023*,430.0,7628.0,3130.0
Nova Scotia,Both sexes,2015-2016,2480.0,6995.0,17810.0
Nova Scotia,Both sexes,2016-2017,2455.0,6544.0,17960.0
Nova Scotia,Both sexes,2017-2018,2625.0,6994.0,18240.0
Nova Scotia,Both sexes,2018-2019,2505.0,6885.0,18370.0
Nova Scotia,Both sexes,2019-2020,2595.0,6479.0,18865.0
Nova Scotia,Both sexes,2020-2021*,2590.0,7076.0,19195.0
Nova Scotia,Both sexes,2021-2022*,2745.0,7460.0,19715.0
Nova Scotia,Both sexes,2022-2023*,2975.0,7640.0,20440.0
New Brunswick,Both sexes,2015-2016,2025.0,6019.0,15505.0
New Brunswick,Both sexes,2016-2017,2190.0,6696.0,15770.0
New Brunswick,Both sexes,2017-2018,2215.0,6208.0,15955.0
