Geography,Sex,Fiscal year,Counts
Canada,Both sexes,2015-2016,101185.0
Canada,Both sexes,2016-2017,101655.0
Canada,Both sexes,2017-2018,106765.0
Canada,Both sexes,2018-2019,109105.0
Canada,Both sexes,2019-2020,111030.0
Canada,Both sexes,2020-2021*,105555.0
Canada,Both sexes,2021-2022*,114070.0
Canada,Both sexes,2022-2023*,122025.0
Newfoundland and Labrador,Both sexes,2015-2016,1425.0
Newfoundland and Labrador,Both sexes,2016-2017,1435.0
Newfoundland and Labrador,Both sexes,2017-2018,1485.0
Newfoundland and Labrador,Both sexes,2018-2019,1455.0
Newfoundland and Labrador,Both sexes,2019-2020,1380.0
Newfoundland and Labrador,Both sexes,2020-2021*,1470.0
Newfoundland and Labrador,Both sexes,2021-2022*,1390.0
Newfoundland and Labrador,Both sexes,2022-2023*,1395.0
Prince Edward Island,Both sexes,2015-2016,415.0
Prince Edward Island,Both sexes,2016-2017,445.0
Prince Edward Island,Both sexes,2017-2018,440.0
Prince Edward Island,Both sexes,2018-2019,460.0
Prince Edward Island,Both sexes,2019-2020,475.0
Prince Edward Island,Both sexes,2020-2021*,425.0
Prince Edward Island,Both sexes,2021-2022*,415.0
Prince Edward Island,Both sexes,2022-2023*,490.0
Nova Scotia,Both sexes,2015-2016,2660.0
Nova Scotia,Both sexes,2016-2017,2685.0
Nova Scotia,Both sexes,2017-2018,2775.0
Nova Scotia,Both sexes,2018-2019,2805.0
Nova Scotia,Both sexes,2019-2020,3000.0
Nova Scotia,Both sexes,2020-2021*,3000.0
Nova Scotia,Both sexes,2021-2022*,3150.0
Nova Scotia,Both sexes,2022-2023*,3470.0
New Brunswick,Both sexes,2015-2016,2330.0
New Brunswick,Both sexes,2016-2017,2360.0
New Brunswick,Both sexes,2017-2018,2455.0
New Brunswick,Both sexes,2018-2019,2480.0
New Brunswick,Both sexes,2019-2020,2355.0
New Brunswick,Both sexes,2020-2021*,2335.0
New Brunswick,Both sexes,2021-2022*,0.0
New Brunswick,Both sexes,2022-2023*,0.0
Quebec,Both sexes,2015-2016,23100.0
Quebec,Both sexes,2016-2017,23620.0
Quebec,Both sexes,2017-2018,24050.0
Quebec,Both sexes,2018-2019,24585.0
Quebec,Both sexes,2019-2020,24720.0
Quebec,Both sexes,2020-2021*,22720.0
Quebec,Both sexes,2021-2022*,26865.0
Quebec,Both sexes,2022-2023*,28550.0
Ontario,Both sexes,2015-2016,37785.0
Ontario,Both sexes,2016-2017,37800.0
Ontario,Both sexes,2017-2018,40685.0
Ontario,Both sexes,2018-2019,41365.0
Ontario,Both sexes,2019-2020,42015.0
Ontario,Both sexes,2020-2021*,39760.0
Ontario,Both sexes,2021-2022*,43250.0
Ontario,Both sexes,2022-2023*,46530.0
Manitoba,Both sexes,2015-2016,4020.0
Manitoba,Both sexes,2016-2017,3700.0
Manitoba,Both sexes,2017-2018,3970.0
Manitoba,Both sexes,2018-2019,3865.0
Manitoba,Both sexes,2019-2020,4100.0
Manitoba,Both sexes,2020-2021*,4175.0
Manitoba,Both sexes,2021-2022*,4425.0
Manitoba,Both sexes,2022-2023*,4755.0
Saskatchewan,Both sexes,2015-2016,3380.0
Saskatchewan,Both sexes,2016-2017,3250.0
Saskatchewan,Both sexes,2017-2018,3255.0
Saskatchewan,Both sexes,2018-2019,3220.0
Saskatchewan,Both sexes,2019-2020,3200.0
Saskatchewan,Both sexes,2020-2021*,2840.0
Saskatchewan,Both sexes,2021-2022*,3120.0
Saskatchewan,Both sexes,2022-2023*,3260.0
Alberta,Both sexes,2015-2016,10035.0
Alberta,Both sexes,2016-2017,10105.0
Alberta,Both sexes,2017-2018,10530.0
Alberta,Both sexes,2018-2019,11040.0
Alberta,Both sexes,2019-2020,11780.0
Alberta,Both sexes,2020-2021*,10755.0
Alberta,Both sexes,2021-2022*,11820.0
Alberta,Both sexes,2022-2023*,13920.0
British Columbia,Both sexes,2015-2016,15795.0
British Columbia,Both sexes,2016-2017,16020.0
British Columbia,Both sexes,2017-2018,16885.0
British Columbia,Both sexes,2018-2019,17540.0
British Columbia,Both sexes,2019-2020,17745.0
British Columbia,Both sexes,2020-2021*,17815.0
British Columbia,Both sexes,2021-2022*,19360.0
British Columbia,Both sexes,2022-2023*,19465.0
Yukon Territory,Both sexes,2015-2016,105.0
Yukon Territory,Both sexes,2016-2017,120.0
Yukon Territory,Both sexes,2017-2018,85.0
Yukon Territory,Both sexes,2018-2019,140.0
Yukon Territory,Both sexes,2019-2020,125.0
Yukon Territory,Both sexes,2020-2021*,135.0
Yukon Territory,Both sexes,2021-2022*,135.0
Yukon Territory,Both sexes,2022-2023*,125.0
Northwest Territories,Both sexes,2015-2016,65.0
Northwest Territories,Both sexes,2016-2017,65.0
Northwest Territories,Both sexes,2017-2018,90.0
Northwest Territories,Both sexes,2018-2019,95.0
Northwest Territories,Both sexes,2019-2020,85.0
Northwest Territories,Both sexes,2020-2021*,70.0
Northwest Territories,Both sexes,2021-2022*,85.0
Northwest Territories,Both sexes,2022-2023*,0.0
Nunavut,Both sexes,2015-2016,60.0
Nunavut,Both sexes,2016-2017,50.0
Nunavut,Both sexes,2017-2018,55.0
Nunavut,Both sexes,2018-2019,60.0
Nunavut,Both sexes,2019-2020,55.0
Nunavut,Both sexes,2020-2021*,45.0
Nunavut,Both sexes,2021-2022*,60.0
Nunavut,Both sexes,2022-2023*,65.0
