Geography,Sex,Fiscal year,"Rate (per 100,000)",Counts,Population
Canada,Both sexes,2015-2016,223.0,63975.0,28738580.0
Canada,Both sexes,2016-2017,227.0,66135.0,29133585.0
Canada,Both sexes,2017-2018,225.0,66565.0,29524790.0
Canada,Both sexes,2018-2019,224.0,67235.0,29987655.0
Canada,Both sexes,2019-2020,214.0,65210.0,30522710.0
Canada,Both sexes,2020-2021*,205.0,62875.0,30680045.0
Canada,Both sexes,2021-2022*,209.0,63810.0,30601870.0
Canada,Both sexes,2022-2023*,199.0,62315.0,31374210.0
Newfoundland and Labrador,Both sexes,2015-2016,321.0,1380.0,429295.0
Newfoundland and Labrador,Both sexes,2016-2017,320.0,1380.0,431490.0
Newfoundland and Labrador,Both sexes,2017-2018,323.0,1385.0,429100.0
Newfoundland and Labrador,Both sexes,2018-2019,321.0,1375.0,428530.0
Newfoundland and Labrador,Both sexes,2019-2020,297.0,1275.0,429375.0
Newfoundland and Labrador,Both sexes,2020-2021*,293.0,1260.0,429315.0
Newfoundland and Labrador,Both sexes,2021-2022*,300.0,1300.0,433100.0
Newfoundland and Labrador,Both sexes,2022-2023*,301.0,1320.0,438445.0
Prince Edward Island,Both sexes,2015-2016,272.0,325.0,119470.0
Prince Edward Island,Both sexes,2016-2017,286.0,345.0,120830.0
Prince Edward Island,Both sexes,2017-2018,277.0,340.0,122945.0
Prince Edward Island,Both sexes,2018-2019,295.0,370.0,125585.0
Prince Edward Island,Both sexes,2019-2020,231.0,300.0,129590.0
Prince Edward Island,Both sexes,2020-2021*,239.0,315.0,131570.0
Prince Edward Island,Both sexes,2021-2022*,256.0,345.0,134505.0
Prince Edward Island,Both sexes,2022-2023*,242.0,335.0,138570.0
Nova Scotia,Both sexes,2015-2016,294.0,2360.0,802950.0
Nova Scotia,Both sexes,2016-2017,293.0,2380.0,811080.0
Nova Scotia,Both sexes,2017-2018,277.0,2270.0,820365.0
Nova Scotia,Both sexes,2018-2019,278.0,2310.0,831560.0
