"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Both sexes","Total","20+","2000–2001","991","2.12","986","995","0.21","217465","21952330",
"Canada","Females","Total","20+","2000–2001","886","2.80","880","891","0.32","100270","11318190",
"Canada","Males","Total","20+","2000–2001","1102","3.22","1096","1108","0.29","117190","10634135",
"Canada","Both sexes","Total","20+","2001–2002","921","2.04","917","925","0.22","204410","22186025",
"Canada","Females","Total","20+","2001–2002","827","2.69","822","833","0.33","94650","11438565",
"Canada","Males","Total","20+","2001–2002","1021","3.08","1015","1027","0.30","109765","10747465",
"Canada","Both sexes","Total","20+","2002–2003","865","1.96","861","869","0.23","194070","22431845",
"Canada","Females","Total","20+","2002–2003","767","2.58","762","772","0.34","88720","11566245",
"Canada","Males","Total","20+","2002–2003","970","2.99","964","975","0.31","105350","10865605",
"Canada","Both sexes","Total","20+","2003–2004","824","1.91","821","828","0.23","187100","22697185",
"Canada","Females","Total","20+","2003–2004","726","2.49","722","731","0.34","85010","11703270",
"Canada","Males","Total","20+","2003–2004","929","2.91","923","934","0.31","102090","10993915",
"Canada","Both sexes","Total","20+","2004–2005","788","1.85","784","792","0.24","180950","22964845",
"Canada","Females","Total","20+","2004–2005","683","2.40","679","688","0.35","80920","11842830",
"Canada","Males","Total","20+","2004–2005","899","2.84","894","905","0.32","100030","11122015",
"Canada","Both sexes","Total","20+","2005–2006","757","1.80","753","760","0.24","176115","23275450",
"Canada","Females","Total","20+","2005–2006","649","2.33","645","654","0.36","77975","12007915",
"Canada","Males","Total","20+","2005–2006","871","2.78","866","877","0.32","98145","11267540",
"Canada","Both sexes","Total","20+","2006–2007","724","1.76","721","728","0.24","169700","23426825",
"Canada","Females","Total","20+","2006–2007","617","2.26","612","621","0.37","74595","12098640",
"Canada","Males","Total","20+","2006–2007","840","2.72","834","845","0.32","95105","11328190",
"Canada","Both sexes","Total","20+","2007–2008","705","1.73","702","709","0.24","166660","23629990",
"Canada","Females","Total","20+","2007–2008","592","2.20","588","596","0.37","72305","12212990",
"Canada","Males","Total","20+","2007–2008","826","2.69","821","832","0.33","94360","11417010",
"Canada","Both sexes","Total","20+","2008–2009","688","1.68","684","691","0.24","167105","24304845",
"Canada","Females","Total","20+","2008–2009","577","2.14","573","581","0.37","72490","12566615",
"Canada","Males","Total","20+","2008–2009","806","2.62","801","811","0.33","94620","11738240",
"Canada","Both sexes","Total","20+","2009–2010","663","1.64","660","666","0.25","163420","24653950",
"Canada","Females","Total","20+","2009–2010","559","2.09","555","563","0.37","71250","12750390",
"Canada","Males","Total","20+","2009–2010","774","2.55","769","779","0.33","92175","11903565",
"Canada","Both sexes","Total","20+","2010–2011","648","1.61","645","651","0.25","162605","25083050",
"Canada","Females","Total","20+","2010–2011","541","2.04","537","545","0.38","70175","12968815",
"Canada","Males","Total","20+","2010–2011","763","2.51","758","768","0.33","92435","12114235",
"Canada","Both sexes","Total","20+","2011–2012","632","1.57","629","635","0.25","161135","25497195",
"Canada","Females","Total","20+","2011–2012","526","2.00","522","530","0.38","69365","13177735",
"Canada","Males","Total","20+","2011–2012","745","2.46","740","750","0.33","91770","12319455",
"Canada","Both sexes","Total","20+","2012–2013","612","1.54","609","615","0.25","158710","25924105",
"Canada","Females","Total","20+","2012–2013","507","1.95","503","511","0.38","67920","13389810",
"Canada","Males","Total","20+","2012–2013","724","2.40","720","729","0.33","90790","12534300",
"Canada","Both sexes","Total","20+","2013–2014","600","1.51","597","603","0.25","157815","26319275",
