"Data Table: Heart failure, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Both sexes","Total","40+","2000–2001","731","2.30","726","735","0.32","100690","13779180",
"Canada","Females","Total","40+","2000–2001","716","3.16","710","723","0.44","51370","7171470",
"Canada","Males","Total","40+","2000–2001","746","3.36","740","753","0.45","49315","6607705",
"Canada","Both sexes","Total","40+","2001–2002","687","2.20","683","691","0.32","97115","14138230",
"Canada","Females","Total","40+","2001–2002","675","3.03","669","680","0.45","49575","7349705",
"Canada","Males","Total","40+","2001–2002","700","3.21","694","707","0.46","47545","6788525",
"Canada","Both sexes","Total","40+","2002–2003","632","2.09","628","636","0.33","91705","14510750",
"Canada","Females","Total","40+","2002–2003","614","2.85","608","620","0.46","46270","7535265",
"Canada","Males","Total","40+","2002–2003","651","3.06","645","657","0.47","45440","6975485",
"Canada","Both sexes","Total","40+","2003–2004","613","2.03","609","617","0.33","91280","14883465",
"Canada","Females","Total","40+","2003–2004","594","2.77","589","599","0.47","45855","7720370",
"Canada","Males","Total","40+","2003–2004","634","2.98","628","640","0.47","45425","7163095",
"Canada","Both sexes","Total","40+","2004–2005","587","1.96","583","591","0.33","89510","15241370",
"Canada","Females","Total","40+","2004–2005","569","2.68","564","575","0.47","44965","7898495",
"Canada","Males","Total","40+","2004–2005","607","2.87","601","612","0.47","44550","7342880",
"Canada","Both sexes","Total","40+","2005–2006","564","1.90","560","567","0.34","87795","15579915",
"Canada","Females","Total","40+","2005–2006","546","2.60","541","552","0.48","44080","8066815",
"Canada","Males","Total","40+","2005–2006","582","2.78","576","587","0.48","43715","7513100",
"Canada","Both sexes","Total","40+","2006–2007","550","1.87","546","554","0.34","86860","15797225",
"Canada","Females","Total","40+","2006–2007","529","2.54","524","534","0.48","43255","8179000",
"Canada","Males","Total","40+","2006–2007","572","2.74","567","578","0.48","43605","7618230",
"Canada","Both sexes","Total","40+","2007–2008","539","1.83","535","543","0.34","86365","16023230",
"Canada","Females","Total","40+","2007–2008","516","2.50","512","521","0.48","42840","8294595",
"Canada","Males","Total","40+","2007–2008","563","2.70","558","569","0.48","43530","7728645",
"Canada","Both sexes","Total","40+","2008–2009","553","1.83","549","557","0.33","91525","16551600",
"Canada","Females","Total","40+","2008–2009","530","2.49","525","535","0.47","45400","8563545",
"Canada","Males","Total","40+","2008–2009","578","2.69","572","583","0.47","46135","7988060",
"Canada","Both sexes","Total","40+","2009–2010","543","1.79","539","546","0.33","91460","16853075",
"Canada","Females","Total","40+","2009–2010","521","2.45","516","526","0.47","45420","8715175",
"Canada","Males","Total","40+","2009–2010","566","2.64","561","571","0.47","46040","8137905",
"Canada","Both sexes","Total","40+","2010–2011","529","1.75","525","532","0.33","90925","17192945",
"Canada","Females","Total","40+","2010–2011","508","2.39","503","512","0.47","45090","8884355",
"Canada","Males","Total","40+","2010–2011","552","2.58","547","557","0.47","45835","8308590",
"Canada","Both sexes","Total","40+","2011–2012","525","1.73","522","528","0.33","91910","17505415",
"Canada","Females","Total","40+","2011–2012","505","2.36","501","510","0.47","45685","9039045",
"Canada","Males","Total","40+","2011–2012","546","2.54","541","551","0.47","46230","8466375",
"Canada","Both sexes","Total","40+","2012–2013","521","1.71","518","525","0.33","92855","17813710",
"Canada","Females","Total","40+","2012–2013","495","2.32","490","499","0.47","45470","9191545",
"Canada","Males","Total","40+","2012–2013","550","2.52","545","555","0.46","47390","8622175",
"Canada","Both sexes","Total","40+","2013–2014","535","1.72","531","538","0.32","96785","18100625",
"Canada","Females","Total","40+","2013–2014","507","2.33","503","512","0.46","47360","9335545",
"Canada","Males","Total","40+","2013–2014","564","2.54","559","569","0.45","49420","8765080",
"Canada","Both sexes","Total","40+","2014–2015","552","1.73","548","555","0.31","101280","18351415",
"Canada","Females","Total","40+","2014–2015","523","2.35","518","528","0.45","49485","9461560",
"Canada","Males","Total","40+","2014–2015","583","2.56","578","588","0.44","51790","8889850",
"Canada","Both sexes","Total","40+","2015–2016","544","1.71","540","547","0.31","101185","18610495",
"Canada","Females","Total","40+","2015–2016","514","2.31","509","518","0.45","49285","9593225",
"Canada","Males","Total","40+","2015–2016","576","2.53","571","581","0.44","51900","9017275",
