"Data Table: Heart failure, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"Canada","Both sexes","Total","40+","2000–2001","1137","3.13","1131","1144","0.27","135530","13678490","7792","83.07","7630","7960","1.07","65940","458165","6.85","6.70","7.00",
"Canada","Females","Total","40+","2000–2001","934","3.66","927","941","0.39","66085","7120105","7410","133.24","7151","7685","1.80","33625","238715","7.93","7.65","8.22",
"Canada","Males","Total","40+","2000–2001","1417","5.70","1406","1429","0.40","69450","6558395","8249","106.57","8042","8468","1.29","32315","219455","5.82","5.67","5.98",
"Canada","Both sexes","Total","40+","2001–2002","1118","3.06","1112","1124","0.27","136940","14041115","7643","82.23","7483","7810","1.08","68175","488010","6.83","6.69","6.98",
"Canada","Females","Total","40+","2001–2002","923","3.59","916","930","0.39","67065","7300135","7239","130.74","6985","7509","1.81","34830","253965","7.84","7.56","8.13",
"Canada","Males","Total","40+","2001–2002","1385","5.54","1374","1396","0.40","69875","6740980","8111","106.13","7904","8328","1.31","33350","234045","5.86","5.70","6.02",
"Canada","Both sexes","Total","40+","2002–2003","1106","2.99","1100","1111","0.27","139335","14419040","7264","80.09","7108","7427","1.10","69220","510085","6.57","6.43","6.72",
"Canada","Females","Total","40+","2002–2003","919","3.53","912","926","0.38","68565","7488995","7036","133.08","6777","7310","1.89","35720","264650","7.65","7.37","7.95",
"Canada","Males","Total","40+","2002–2003","1358","5.38","1347","1368","0.40","70770","6930050","7588","99.99","7394","7793","1.32","33495","245425","5.59","5.44","5.74",
"Canada","Both sexes","Total","40+","2003–2004","1099","2.94","1093","1104","0.27","142510","14792185","7104","76.23","6956","7259","1.07","72535","530525","6.47","6.33","6.61",
"Canada","Females","Total","40+","2003–2004","915","3.47","909","922","0.38","70220","7674515","6875","126.32","6630","7137","1.84","37590","273950","7.51","7.24","7.79",
"Canada","Males","Total","40+","2003–2004","1344","5.25","1334","1355","0.39","72290","7117670","7428","95.69","7241","7624","1.29","34940","256570","5.52","5.38","5.67",
"Canada","Both sexes","Total","40+","2004–2005","1061","2.84","1055","1066","0.27","141740","15151865","6754","73.91","6610","6904","1.09","72315","545995","6.37","6.23","6.51",
"Canada","Females","Total","40+","2004–2005","882","3.36","876","889","0.38","69610","7853530","6371","116.60","6144","6613","1.83","37510","280510","7.22","6.96","7.49",
"Canada","Males","Total","40+","2004–2005","1297","5.05","1287","1307","0.39","72130","7298330","7155","95.83","6969","7352","1.34","34805","265485","5.52","5.37","5.67",
"Canada","Both sexes","Total","40+","2005–2006","1018","2.73","1013","1023","0.27","140640","15492120","6543","73.75","6399","6692","1.13","70425","560170","6.43","6.28","6.57",
"Canada","Females","Total","40+","2005–2006","851","3.25","845","858","0.38","69255","8022735","6367","119.38","6135","6614","1.88","36755","286375","7.48","7.20","7.76",
"Canada","Males","Total","40+","2005–2006","1237","4.82","1228","1247","0.39","71385","7469385","6786","93.90","6603","6979","1.38","33665","273795","5.48","5.33","5.64",
"Canada","Both sexes","Total","40+","2006–2007","1021","2.69","1016","1027","0.26","145500","15710370","6363","68.86","6229","6503","1.08","73490","574900","6.23","6.10","6.37",
"Canada","Females","Total","40+","2006–2007","856","3.21","850","862","0.37","71825","8135745","6162","112.93","5942","6396","1.83","38025","292015","7.20","6.94","7.47",
"Canada","Males","Total","40+","2006–2007","1238","4.72","1229","1248","0.38","73675","7574625","6628","86.74","6459","6806","1.31","35460","282875","5.35","5.21","5.50",
"Canada","Both sexes","Total","40+","2007–2008","1002","2.62","997","1007","0.26","147290","15936865","6369","72.04","6229","6516","1.13","72975","586005","6.36","6.21","6.50",
"Canada","Females","Total","40+","2007–2008","840","3.13","834","846","0.37","72565","8251755","6289","119.67","6057","6537","1.90","37805","295915","7.48","7.21","7.77",
"Canada","Males","Total","40+","2007–2008","1211","4.56","1202","1219","0.38","74725","7685110","6539","89.85","6364","6724","1.37","35165","290080","5.40","5.25","5.55",
"Canada","Both sexes","Total","40+","2008–2009","998","2.56","993","1003","0.26","152295","16460070","6151","65.22","6023","6283","1.06","76290","613940","6.16","6.03","6.29",
"Canada","Females","Total","40+","2008–2009","839","3.07","833","845","0.37","75185","8518145","5966","105.39","5762","6185","1.77","39315","307955","7.11","6.87","7.37",
"Canada","Males","Total","40+","2008–2009","1205","4.47","1196","1214","0.37","77115","7941930","6386","83.07","6224","6557","1.30","36975","305985","5.30","5.16","5.44",
"Canada","Both sexes","Total","40+","2009–2010","966","2.48","961","971","0.26","152260","16761615","5915","64.04","5790","6045","1.08","75645","627240","6.12","5.99","6.26",
"Canada","Females","Total","40+","2009–2010","811","2.98","806","817","0.37","74985","8669750","5738","100.55","5542","5947","1.75","39220","313095","7.07","6.83","7.32",
"Canada","Males","Total","40+","2009–2010","1165","4.30","1156","1173","0.37","77275","8091865","6136","83.42","5973","6308","1.36","36420","314140","5.27","5.13","5.42",
"Canada","Both sexes","Total","40+","2010–2011","963","2.43","959","968","0.25","157135","17102015","5901","64.49","5775","6032","1.09","78150","641425","6.12","5.99","6.26",
"Canada","Females","Total","40+","2010–2011","815","2.94","809","820","0.36","78035","8839270","5943","106.90","5735","6164","1.80","40740","318380","7.29","7.04","7.56",
"Canada","Males","Total","40+","2010–2011","1149","4.17","1141","1158","0.36","79105","8262750","5961","80.49","5804","6127","1.35","37405","323035","5.19","5.05","5.33",
"Canada","Both sexes","Total","40+","2011–2012","924","2.34","919","929","0.25","155840","17413505","5690","61.18","5571","5815","1.08","77520","653650","6.16","6.03","6.29",
"Canada","Females","Total","40+","2011–2012","782","2.84","776","787","0.36","77160","8993355","5599","98.62","5407","5804","1.76","40050","322525","7.16","6.92","7.42",
"Canada","Males","Total","40+","2011–2012","1102","4.00","1094","1110","0.36","78675","8420145","5833","77.95","5681","5994","1.34","37470","331120","5.29","5.15","5.44",
"Canada","Both sexes","Total","40+","2012–2013","925","2.31","921","930","0.25","161510","17720855","5739","61.52","5619","5864","1.07","80265","667410","6.20","6.07","6.34",
"Canada","Females","Total","40+","2012–2013","788","2.81","783","794","0.36","80395","9146070","5599","97.69","5410","5802","1.74","41050","327150","7.10","6.86","7.35",
