"Data Table: Ischemic heart disease, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"Canada","Both sexes","Total","20+","2000–2001","763","2.21","758","767","0.29","122970","21734865","2258","36.18","2188","2338","1.60","84575","1494930","2.96","2.87","3.06",
"Canada","Females","Total","20+","2000–2001","636","2.57","631","641","0.40","62190","11217925","2039","56.77","1929","2172","2.78","39480","664390","3.21","3.04","3.39",
"Canada","Males","Total","20+","2000–2001","952","4.13","944","960","0.43","60785","10516950","2478","47.12","2386","2586","1.90","45090","830535","2.60","2.51","2.70",
"Canada","Both sexes","Total","20+","2001–2002","747","2.17","743","751","0.29","122210","21981620","2201","31.81","2139","2271","1.45","89205","1610400","2.95","2.86","3.03",
"Canada","Females","Total","20+","2001–2002","626","2.53","621","631","0.40","62080","11343920","1944","45.18","1856","2051","2.32","41870","717705","3.11","2.97","3.25",
"Canada","Males","Total","20+","2001–2002","925","4.04","917","933","0.44","60130","10637700","2448","44.87","2361","2552","1.83","47335","892695","2.65","2.55","2.75",
"Canada","Both sexes","Total","20+","2002–2003","730","2.13","726","735","0.29","121575","22237775","2117","32.85","2053","2189","1.55","92815","1710550","2.90","2.81","2.99",
"Canada","Females","Total","20+","2002–2003","617","2.49","612","622","0.40","62210","11477525","1900","45.69","1811","2007","2.41","44005","762605","3.08","2.93","3.23",
"Canada","Males","Total","20+","2002–2003","895","3.93","887","903","0.44","59370","10760255","2329","47.11","2238","2436","2.02","48805","947945","2.60","2.50","2.71",
"Canada","Both sexes","Total","20+","2003–2004","729","2.11","725","733","0.29","123730","22510085","2052","29.27","1995","2117","1.43","97235","1799920","2.81","2.74","2.90",
"Canada","Females","Total","20+","2003–2004","617","2.47","612","622","0.40","63335","11618260","1759","30.35","1700","1836","1.73","46375","801535","2.85","2.75","2.95",
"Canada","Males","Total","20+","2003–2004","892","3.88","884","899","0.44","60390","10891820","2329","48.70","2234","2439","2.09","50855","998380","2.61","2.50","2.72",
"Canada","Both sexes","Total","20+","2004–2005","706","2.05","702","710","0.29","122470","22783895","1919","27.11","1867","1980","1.41","97325","1878505","2.72","2.64","2.80",
"Canada","Females","Total","20+","2004–2005","595","2.40","590","600","0.40","62355","11761910","1684","31.25","1624","1762","1.86","46570","833820","2.83","2.73","2.94",
"Canada","Males","Total","20+","2004–2005","865","3.77","858","873","0.44","60120","11021990","2144","44.06","2058","2245","2.06","50755","1044680","2.48","2.38","2.58",
"Canada","Both sexes","Total","20+","2005–2006","675","1.97","671","679","0.29","120355","23099330","1820","21.79","1778","1870","1.20","96570","1952365","2.70","2.63","2.76",
"Canada","Females","Total","20+","2005–2006","573","2.32","568","577","0.41","61555","11929940","1643","30.93","1583","1720","1.88","46350","863115","2.87","2.76","2.98",
"Canada","Males","Total","20+","2005–2006","821","3.60","814","828","0.44","58800","11169390","1987","30.87","1927","2061","1.55","50215","1089245","2.42","2.34","2.50",
"Canada","Both sexes","Total","20+","2006–2007","679","1.95","676","683","0.29","123950","23257130","1846","24.78","1798","1902","1.34","100800","2019310","2.72","2.65","2.79",
"Canada","Females","Total","20+","2006–2007","577","2.30","573","582","0.40","63640","12024040","1657","34.69","1589","1741","2.09","48030","888875","2.87","2.75","2.99",
"Canada","Males","Total","20+","2006–2007","824","3.55","817","831","0.43","60305","11233085","2029","35.51","1960","2112","1.75","52765","1130435","2.46","2.38","2.55",
"Canada","Both sexes","Total","20+","2007–2008","666","1.90","662","669","0.29","124760","23463330","1819","29.29","1762","1883","1.61","101225","2079125","2.73","2.65","2.82",
"Canada","Females","Total","20+","2007–2008","566","2.25","562","571","0.40","63980","12140685","1651","42.58","1569","1750","2.58","48205","910705","2.92","2.77","3.07",
