"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","Manitoba",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","620,300","625,100","641,400","631,400","653,100","651,600","652,600","592,500"
"Perceived health, fair or poor 15","120,800","120,200","119,500","123,800","119,800","134,300","122,600","133,600"
"Perceived mental health, very good or excellent 16","712,200","689,200","717,600","691,600","669,500","671,700","620,500","577,000"
"Perceived mental health, fair or poor 16","64,200","77,700","68,400","82,100","87,700","97,100","128,500","158,000"
"Perceived life stress, most days quite a bit or extremely stressful 17","192,000","221,800","186,000","209,600","202,600","233,100","197,400","230,900"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","291,900","308,700","305,500","323,200","322,800","352,500","321,200","325,100"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","268,600","263,400","262,900","279,700","323,800","280,700","319,600","323,900"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","19,800","20,400","18,900","22,900","24,900E","22,900E","26,800","F"
"Arthritis (15 years and over) 24","209,600","226,400","189,900","189,200","207,100","198,000","195,800","209,500"
"Diabetes 25","73,500","59,600","87,300","68,500","73,400","67,300","83,400","83,000"
"Asthma 26 27","86,400","83,400","82,000","90,300","81,400","85,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","32,700E","18,800E","25,900E","17,700","31,300E","24,900","..",".."
"High blood pressure 29 30","174,300","193,900","195,900","203,900","198,100","198,500","195,900","211,100"
"Mood disorder 31","79,200","95,500","99,800","110,500","106,800","100,700","106,200","123,000"
"Anxiety disorder 32","..","..","..","..","..","..","..","146,400"
"Current smoker, daily or occasional 33 34 35 36 37","199,400","187,600","165,400","186,500","159,900","168,500","121,200","129,700"
"Current smoker, daily 33 34 35 36","140,900","135,500","110,800","118,400","108,400","112,200","84,800","115,700"
"Cannabis use, past 12 months 38","..","..","..","..","231,100","222,300","216,600","260,700"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","52,900","74,500","54,900","61,900"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","219,300"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","68,900"
"Heavy drinking 42","199,300","172,600","175,500","169,000","217,100","171,900","160,000","235,400"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","504,100","499,700","525,300","510,600","..","468,400","524,900",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","48,100","40,600","46,000","37,600","..","33,700","41,500",".."
"Breast milk feeding initiation 46 47","45,100","60,400","69,400","49,000","..","..","51,100","55,400"
"Exclusive breastfeeding, at least 6 months 46 48 49","18,200E","19,000E","24,800E","24,400E","..","..","18,900E","F"
"Fruit and vegetable consumption, 5 times or more per day 50 51","281,000","240,000","251,500","..","..","198,300","207,300",".."
"Sense of belonging to local community, somewhat strong or very strong 52","711,200","693,400","746,900","754,100","779,000","747,500","749,500","743,300"
"Life satisfaction, satisfied or very satisfied 53","922,000","925,100","963,400","951,900","976,400","955,800","979,800","946,400"
"Has a regular healthcare provider 54 55","833,500","878,600","884,600","887,700","903,700","918,400","940,400","986,200"
"Contact with a medical doctor in the past 12 months 56 57 58","717,000","771,300","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","300,300","314,800","303,600","305,600","354,100","384,600","..","436,200"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS)"
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Community Health Survey (CCHS) are collected yearly from a sample of approximately 65,000 respondents. The Canadian Health Indicators are tabulated by sex and age group in two main tables. The table 13-10-0096-01 presents the most up-to-date population health estimates for the ten provinces and is updated yearly. The table 13-10-0113-01 (to be released in autumn of 2017) presents estimates from two-year combined data and features breakdowns by all provinces and territories as well as by health regions. These estimates are less current than annual estimates, but have higher precision given the larger sample (less variability). Users should refer to the annual data table 13-10-0096-01 as the primary source for the most current estimates from the survey as well as to obtain data from previous years (where available). However, where data quality flags indicate suppression (F) or higher variability (E), the two-year data table 13-10-0113-01 should be used."
4,"As a result of the 2015 redesign, Canadian Community Health Survey CCHS has a new collection strategy, a new sample design, and has undergone major content revisions. With all these factors taken together, caution should be taken when comparing data from previous cycles to data released for the 2015 cycle onwards."
5,"The COVID-19 pandemic had major impacts on the data collection operations for the Canadian Community Health Survey (CCHS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for previous CCHS cycles, survey weights were adjusted to minimise any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the survey data. Therefore, users are advised to use the CCHS 2020 data with caution, especially when creating estimates for small sub-populations or when comparing to other CCHS years."
6,"Due to changes in the survey coverage for the 2023 cycle (covering adults only), this table will now only be made available for historical revisions. In place of this table, please consult table <a href="https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310090501" rel="external noopener noreferrer" target="_blank">13-10-0905-01 (opens new window)</a>."
7,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
8,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
13,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Community Health Survey (CCHS) survey weights and resulting estimates included in this table are consistent with known population totals."
14,"Beginning with the 2022 cycle of CCHS, quality flags are applied to estimates based on the sample size within the domain of estimation. The flag (E) signifies an estimate with poorer quality which should be used with caution. The flag (F) signifies an estimate with a quality that is to unreliable to be published. When there is no quality flag applied to the data, users should use the estimated confidence intervals as an indicator of quality for the statistics."
15,"Population aged 12 and over who reported perceiving their own health status as being either excellent or very good or fair or poor, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury but also physical, mental and social well-being."
16,"Population aged 12 and over who reported perceiving their own mental health status as being excellent or very good or fair or poor, depending on the indicator. Perceived mental health refers to the perception of a person's mental health in general. Perceived mental health provides a general indication of the population suffering from some form of mental disorder, mental or emotional problems, or distress, not necessarily reflected in perceived health."
