"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","British Columbia",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","2,425,800","2,390,100","2,463,900","2,520,000","2,537,800","2,664,700","2,661,200","2,336,800"
"Perceived health, fair or poor 15","446,500","486,000","544,600","474,100","526,700","517,400","552,400","742,700"
"Perceived mental health, very good or excellent 16","2,651,800","2,751,500","2,704,900","2,622,600","2,659,400","2,603,400","2,434,600","2,268,300"
"Perceived mental health, fair or poor 16","243,100","316,600","347,000","349,200","353,000","463,500","610,500","808,200"
"Perceived life stress, most days quite a bit or extremely stressful 17","800,300","782,400","879,900","849,700","838,100","943,000","874,300","1,034,800"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","1,240,100","1,237,700","1,245,200","1,266,400","1,308,500","1,398,400","1,368,500","1,415,800"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","707,000","783,300","777,900","830,000","821,000","909,300","976,400","1,041,200"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","54,100","62,200","46,200","48,300","51,900","51,300","52,700","83,000E"
"Arthritis (15 years and over) 24","763,300","763,100","722,100","738,600","720,000","772,300","809,100","879,300"
"Diabetes 25","245,400","233,900","240,800","240,900","294,200","240,600","265,300","314,100"
"Asthma 26 27","333,200","313,200","295,100","312,500","339,900","400,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","102,700","99,000","110,000","98,400","116,500","88,600","..",".."
"High blood pressure 29 30","573,400","627,500","686,200","652,500","668,400","672,900","751,700","828,300"
"Mood disorder 31","390,500","388,900","423,500","365,700","405,000","416,000","473,800","621,500"
"Anxiety disorder 32","..","..","..","..","..","..","..","693,400"
"Current smoker, daily or occasional 33 34 35 36 37","549,100","587,700","539,700","499,200","469,600","444,800","431,900","405,100"
"Current smoker, daily 33 34 35 36","360,100","375,100","348,700","305,300","282,200","259,800","287,100","288,500"
"Cannabis use, past 12 months 38","..","..","..","..","914,500","1,010,500","1,103,400","1,112,300"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","248,900","241,700","272,100","290,200"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","853,100"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","292,000"
"Heavy drinking 42","685,400","674,600","720,000","828,900","765,100","753,800","676,100","862,700"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","2,329,800","2,475,200","2,433,000","2,468,800","..","2,637,800","2,591,800",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","167,700","152,300","171,000","138,100","..","149,100","154,300",".."
"Breast milk feeding initiation 46 47","164,900","175,000","184,100","159,700","193,500","177,200","149,800","172,500"
"Exclusive breastfeeding, at least 6 months 46 48 49","62,400","64,100","85,800","75,400","71,200","70,100E","59,200E","68,000E"
"Fruit and vegetable consumption, 5 times or more per day 50 51","1,103,000","1,206,800","1,107,300","..","..","1,018,100","915,500",".."
"Sense of belonging to local community, somewhat strong or very strong 52","2,721,200","2,795,200","2,800,200","2,759,900","2,916,400","2,974,200","3,090,200","2,927,200"
"Life satisfaction, satisfied or very satisfied 53","3,574,800","3,593,600","3,632,500","3,671,600","3,804,400","3,931,200","3,997,300","3,830,000"
"Has a regular healthcare provider 54 55","3,314,800","3,356,900","3,349,700","3,418,300","3,464,500","3,576,200","3,710,800","3,798,200"
"Contact with a medical doctor in the past 12 months 56 57 58","3,051,300","2,976,400","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","1,366,900","1,263,700","1,323,600","1,364,000","1,502,500","1,782,900","..","1,811,000"

Symbol legend:
.., not available for a specific reference period
E, use with caution




Footnotes:
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS)"
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Community Health Survey (CCHS) are collected yearly from a sample of approximately 65,000 respondents. The Canadian Health Indicators are tabulated by sex and age group in two main tables. The table 13-10-0096-01 presents the most up-to-date population health estimates for the ten provinces and is updated yearly. The table 13-10-0113-01 (to be released in autumn of 2017) presents estimates from two-year combined data and features breakdowns by all provinces and territories as well as by health regions. These estimates are less current than annual estimates, but have higher precision given the larger sample (less variability). Users should refer to the annual data table 13-10-0096-01 as the primary source for the most current estimates from the survey as well as to obtain data from previous years (where available). However, where data quality flags indicate suppression (F) or higher variability (E), the two-year data table 13-10-0113-01 should be used."
4,"As a result of the 2015 redesign, Canadian Community Health Survey CCHS has a new collection strategy, a new sample design, and has undergone major content revisions. With all these factors taken together, caution should be taken when comparing data from previous cycles to data released for the 2015 cycle onwards."
5,"The COVID-19 pandemic had major impacts on the data collection operations for the Canadian Community Health Survey (CCHS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for previous CCHS cycles, survey weights were adjusted to minimise any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the survey data. Therefore, users are advised to use the CCHS 2020 data with caution, especially when creating estimates for small sub-populations or when comparing to other CCHS years."
6,"Due to changes in the survey coverage for the 2023 cycle (covering adults only), this table will now only be made available for historical revisions. In place of this table, please consult table <a href="https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310090501" rel="external noopener noreferrer" target="_blank">13-10-0905-01 (opens new window)</a>."
7,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
8,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
13,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Community Health Survey (CCHS) survey weights and resulting estimates included in this table are consistent with known population totals."
14,"Beginning with the 2022 cycle of CCHS, quality flags are applied to estimates based on the sample size within the domain of estimation. The flag (E) signifies an estimate with poorer quality which should be used with caution. The flag (F) signifies an estimate with a quality that is to unreliable to be published. When there is no quality flag applied to the data, users should use the estimated confidence intervals as an indicator of quality for the statistics."
15,"Population aged 12 and over who reported perceiving their own health status as being either excellent or very good or fair or poor, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury but also physical, mental and social well-being."
16,"Population aged 12 and over who reported perceiving their own mental health status as being excellent or very good or fair or poor, depending on the indicator. Perceived mental health refers to the perception of a person's mental health in general. Perceived mental health provides a general indication of the population suffering from some form of mental disorder, mental or emotional problems, or distress, not necessarily reflected in perceived health."
17,"Population aged 12 and over who reported perceiving that most days in their life were quite a bit or extremely stressful. Perceived life stress refers to the amount of stress in the person's life, on most days, as perceived by the person or, in the case of proxy response, by the person responding."
18,"Body mass index (BMI) is a method of classifying body weight according to health risk. According to the World Health Organization (WHO) and Health Canada guidelines, health risk levels are associated with each of the following BMI categories: normal weight = least health risk; underweight and overweight = increased health risk; obese, class I = high health risk; obese, class II = very high health risk; obese, class III = extremely high health risk."
