"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","Quebec",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","4,453,700","4,420,900","4,423,000","4,398,700","4,524,600","4,729,800","4,502,400","4,490,000"
"Perceived health, fair or poor 15","639,200","692,200","673,900","701,400","633,900","596,400","636,400","786,000"
"Perceived mental health, very good or excellent 16","5,204,000","5,101,100","5,161,500","5,039,800","5,147,300","5,086,500","4,734,000","4,748,500"
"Perceived mental health, fair or poor 16","294,200","350,100","355,900","400,600","368,600","474,100","568,600","633,700"
"Perceived life stress, most days quite a bit or extremely stressful 17","1,708,800","1,635,600","1,763,000","1,635,800","1,716,100","1,592,600","1,581,000","1,516,500"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","2,337,800","2,242,500","2,279,500","2,379,100","2,387,700","2,281,500","2,411,400","2,311,500"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","1,491,900","1,582,900","1,707,200","1,600,400","1,654,000","1,700,400","1,796,800","1,872,700"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","92,700","94,600","99,500","93,600","93,900","98,800","84,200","133,200"
"Arthritis (15 years and over) 24","1,262,900","1,295,600","1,263,900","1,212,800","1,334,500","1,354,600","1,358,700","1,210,200"
"Diabetes 25","512,500","477,300","473,800","534,800","537,500","512,200","556,900","592,300"
"Asthma 26 27","559,500","618,100","583,200","597,900","581,600","631,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","210,600","189,900","227,700","198,000","178,900","212,100","..",".."
"High blood pressure 29 30","1,178,300","1,218,900","1,189,900","1,185,800","1,215,000","1,203,000","1,241,000","1,329,800"
"Mood disorder 31","380,000","409,300","443,600","459,400","423,300","435,200","442,400","604,400"
"Anxiety disorder 32","..","..","..","..","..","..","..","1,044,900"
"Current smoker, daily or occasional 33 34 35 36 37","1,312,600","1,284,700","1,306,700","1,257,600","1,235,000","1,105,200","974,800","975,900"
"Current smoker, daily 33 34 35 36","946,900","913,400","905,700","878,000","832,000","769,500","733,100","764,400"
"Cannabis use, past 12 months 38","..","..","..","..","1,144,100","1,183,800","1,090,600","1,162,900"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","224,300","247,000","245,300","268,500"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","1,420,400"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","407,400"
"Heavy drinking 42","1,421,800","1,572,900","1,622,800","1,523,500","1,446,100","1,275,100","1,166,400","1,579,400"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","3,559,700","3,627,100","3,599,900","3,368,200","..","3,356,900","3,501,200",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","218,800","232,100","215,000","202,800","..","170,500","217,000",".."
"Breast milk feeding initiation 46 47","302,300","318,200","336,800","344,700","..","..","311,500","342,800"
"Exclusive breastfeeding, at least 6 months 46 48 49","74,800","85,300","84,500","95,400","..","..","95,300","128,800"
"Fruit and vegetable consumption, 5 times or more per day 50 51","2,626,100","2,627,600","2,354,700","..","..","2,392,900","2,003,000",".."
"Sense of belonging to local community, somewhat strong or very strong 52","3,937,700","4,116,500","4,260,600","4,215,500","4,438,500","4,684,200","4,700,000","4,356,300"
"Life satisfaction, satisfied or very satisfied 53","6,441,300","6,521,700","6,559,700","6,619,400","6,786,800","6,775,500","6,801,400","6,647,200"
"Has a regular healthcare provider 54 55","5,066,000","5,246,400","5,536,200","5,691,200","5,654,900","5,843,500","5,720,000","5,817,900"
"Contact with a medical doctor in the past 12 months 56 57 58","4,757,400","4,822,700","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","1,749,100","1,599,200","1,645,900","1,447,500","1,434,600","1,671,700","..","1,695,500"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS)"
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Community Health Survey (CCHS) are collected yearly from a sample of approximately 65,000 respondents. The Canadian Health Indicators are tabulated by sex and age group in two main tables. The table 13-10-0096-01 presents the most up-to-date population health estimates for the ten provinces and is updated yearly. The table 13-10-0113-01 (to be released in autumn of 2017) presents estimates from two-year combined data and features breakdowns by all provinces and territories as well as by health regions. These estimates are less current than annual estimates, but have higher precision given the larger sample (less variability). Users should refer to the annual data table 13-10-0096-01 as the primary source for the most current estimates from the survey as well as to obtain data from previous years (where available). However, where data quality flags indicate suppression (F) or higher variability (E), the two-year data table 13-10-0113-01 should be used."
4,"As a result of the 2015 redesign, Canadian Community Health Survey CCHS has a new collection strategy, a new sample design, and has undergone major content revisions. With all these factors taken together, caution should be taken when comparing data from previous cycles to data released for the 2015 cycle onwards."
5,"The COVID-19 pandemic had major impacts on the data collection operations for the Canadian Community Health Survey (CCHS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for previous CCHS cycles, survey weights were adjusted to minimise any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the survey data. Therefore, users are advised to use the CCHS 2020 data with caution, especially when creating estimates for small sub-populations or when comparing to other CCHS years."
6,"Due to changes in the survey coverage for the 2023 cycle (covering adults only), this table will now only be made available for historical revisions. In place of this table, please consult table <a href="https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310090501" rel="external noopener noreferrer" target="_blank">13-10-0905-01 (opens new window)</a>."
7,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
8,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
13,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Community Health Survey (CCHS) survey weights and resulting estimates included in this table are consistent with known population totals."
14,"Beginning with the 2022 cycle of CCHS, quality flags are applied to estimates based on the sample size within the domain of estimation. The flag (E) signifies an estimate with poorer quality which should be used with caution. The flag (F) signifies an estimate with a quality that is to unreliable to be published. When there is no quality flag applied to the data, users should use the estimated confidence intervals as an indicator of quality for the statistics."
15,"Population aged 12 and over who reported perceiving their own health status as being either excellent or very good or fair or poor, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury but also physical, mental and social well-being."
16,"Population aged 12 and over who reported perceiving their own mental health status as being excellent or very good or fair or poor, depending on the indicator. Perceived mental health refers to the perception of a person's mental health in general. Perceived mental health provides a general indication of the population suffering from some form of mental disorder, mental or emotional problems, or distress, not necessarily reflected in perceived health."
17,"Population aged 12 and over who reported perceiving that most days in their life were quite a bit or extremely stressful. Perceived life stress refers to the amount of stress in the person's life, on most days, as perceived by the person or, in the case of proxy response, by the person responding."
18,"Body mass index (BMI) is a method of classifying body weight according to health risk. According to the World Health Organization (WHO) and Health Canada guidelines, health risk levels are associated with each of the following BMI categories: normal weight = least health risk; underweight and overweight = increased health risk; obese, class I = high health risk; obese, class II = very high health risk; obese, class III = extremely high health risk."
19,"Body mass index (BMI) is calculated by dividing the respondent's body weight (in kilograms) by their height (in metres) squared."
