"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,,
"Table F.1.1.1  Provincial/territorial government health expenditure by province/territory and Canada in millions of current dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,174.6,35.6,228.1,169.9,"2,141.7","2,767.2",315.3,259.8,571.6,743.7,5.4,12.8,—,"7,425.9"
1975–1976,207.4,43.5,279.8,214.9,"2,661.1","3,268.9",397.2,316.2,736.0,989.7,6.4,16.1,—,"9,137.1"
1976–1977,222.9,46.0,310.3,251.6,"3,076.3","3,727.0",466.7,380.0,836.7,"1,113.7",9.6,19.9,—,"10,460.8"
1977–1978,237.0,51.7,342.7,278.4,"3,333.5","3,996.5",507.5,421.0,893.2,"1,219.6",10.1,24.6,—,"11,315.8"
1978–1979,265.4,57.9,379.1,306.0,"3,771.3","4,307.0",530.7,454.1,"1,062.9","1,411.9",11.8,29.2,—,"12,587.3"
1979–1980,307.9,64.1,424.4,346.9,"4,193.7","4,652.1",582.7,526.6,"1,323.3","1,604.6",12.5,27.5,—,"14,066.4"
1980–1981,346.5,75.5,491.1,411.1,"4,745.9","5,335.4",676.2,630.5,"1,572.5","2,041.6",14.0,29.9,—,"16,369.9"
1981–1982,409.1,87.0,599.5,500.6,"5,442.3","6,314.8",818.5,736.2,"1,970.9","2,485.9",15.4,37.4,—,"19,417.3"
1982–1983,479.5,102.3,683.7,605.9,"6,320.7","7,367.5",947.3,900.0,"2,578.1","2,798.5",24.7,55.6,—,"22,863.7"
1983–1984,527.8,111.9,743.6,634.3,"6,880.9","8,236.4","1,045.9",987.5,"2,833.1","2,976.8",22.1,58.5,—,"25,059.0"
1984–1985,536.9,118.0,819.3,684.0,"7,260.3","9,023.4","1,120.8","1,034.8","2,846.9","3,107.5",24.0,63.1,—,"26,638.9"
1985–1986,569.6,124.6,883.6,719.6,"7,682.8","9,987.9","1,203.2","1,123.5","3,097.8","3,231.6",25.2,74.8,—,"28,724.1"
1986–1987,625.1,134.1,928.1,772.4,"7,726.2","11,330.9","1,291.8","1,256.8","3,389.9","3,513.8",28.4,96.6,—,"31,093.9"
1987–1988,671.6,145.3,"1,007.1",859.8,"8,435.1","12,494.2","1,389.1","1,267.0","3,280.8","3,709.8",29.7,108.4,—,"33,397.9"
1988–1989,714.5,156.2,"1,096.1",918.0,"9,140.2","13,887.3","1,488.4","1,372.5","3,499.3","4,071.7",34.5,163.4,—,"36,542.1"
1989–1990,765.3,165.4,"1,203.7",999.9,"9,795.7","15,454.0","1,626.2","1,540.0","3,889.7","4,580.0",36.8,178.3,—,"40,234.9"
1990–1991,856.5,178.2,"1,280.9","1,071.9","10,532.2","16,442.8","1,773.8","1,652.1","4,081.9","5,185.1",40.0,189.8,—,"43,285.1"
1991–1992,865.6,192.0,"1,352.1","1,115.2","11,588.8","18,476.3","1,790.5","1,668.4","4,314.7","5,714.8",46.8,223.5,—,"47,348.8"
1992–1993,884.7,198.0,"1,360.2","1,152.6","11,774.2","18,915.0","1,891.3","1,617.7","4,559.6","6,181.4",50.8,210.1,—,"48,795.7"
1993–1994,879.2,206.9,"1,313.1","1,160.0","11,912.8","18,550.8","1,848.1","1,525.2","4,397.7","6,505.8",62.1,220.6,—,"48,582.3"
