"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Both sexes","Total","20+","2000–2001","266","1.08","264","269","0.40","61410","23044910",
"Canada","Females","Total","20+","2000–2001","194","1.28","192","197","0.66","22935","11821340",
"Canada","Males","Total","20+","2000–2001","343","1.75","339","346","0.51","38470","11223560",
"Canada","Both sexes","Total","20+","2001–2002","266","1.07","264","268","0.40","62230","23371450",
"Canada","Females","Total","20+","2001–2002","197","1.28","195","200","0.65","23620","11989080",
"Canada","Males","Total","20+","2001–2002","339","1.73","336","343","0.51","38615","11382380",
"Canada","Both sexes","Total","20+","2002–2003","264","1.06","262","266","0.40","62575","23693705",
"Canada","Females","Total","20+","2002–2003","195","1.27","193","198","0.65","23735","12156215",
"Canada","Males","Total","20+","2002–2003","337","1.71","333","340","0.51","38840","11537485",
"Canada","Both sexes","Total","20+","2003–2004","263","1.05","261","265","0.40","63185","24023015",
"Canada","Females","Total","20+","2003–2004","196","1.26","194","199","0.64","24170","12325420",
"Canada","Males","Total","20+","2003–2004","334","1.69","330","337","0.51","39015","11697600",
"Canada","Both sexes","Total","20+","2004–2005","254","1.02","252","256","0.40","61945","24344890",
"Canada","Females","Total","20+","2004–2005","190","1.23","188","193","0.65","23770","12491620",
"Canada","Males","Total","20+","2004–2005","322","1.65","319","325","0.51","38175","11853270",
"Canada","Both sexes","Total","20+","2005–2006","245","1.00","243","247","0.41","60540","24706090",
"Canada","Females","Total","20+","2005–2006","184","1.20","182","186","0.65","23340","12680200",
"Canada","Males","Total","20+","2005–2006","309","1.60","306","312","0.52","37200","12025890",
"Canada","Both sexes","Total","20+","2006–2007","235","0.97","233","237","0.41","58570","24904280",
"Canada","Females","Total","20+","2006–2007","175","1.17","172","177","0.67","22330","12791915",
"Canada","Males","Total","20+","2006–2007","299","1.57","296","302","0.53","36240","12112365",
"Canada","Both sexes","Total","20+","2007–2008","238","0.97","237","240","0.41","59960","25147215",
"Canada","Females","Total","20+","2007–2008","174","1.16","172","176","0.67","22490","12923630",
"Canada","Males","Total","20+","2007–2008","307","1.58","303","310","0.52","37475","12223590",
"Canada","Both sexes","Total","20+","2008–2009","235","0.95","233","237","0.41","60890","25881770",
"Canada","Females","Total","20+","2008–2009","173","1.14","171","175","0.66","23035","13302785",
"Canada","Males","Total","20+","2008–2009","301","1.55","298","304","0.51","37860","12578990",
"Canada","Both sexes","Total","20+","2009–2010","229","0.93","227","231","0.41","60155","26263080",
"Canada","Females","Total","20+","2009–2010","166","1.11","164","168","0.67","22430","13499690",
"Canada","Males","Total","20+","2009–2010","296","1.52","293","299","0.51","37725","12763385",
"Canada","Both sexes","Total","20+","2010–2011","229","0.93","228","231","0.40","61320","26724100",
"Canada","Females","Total","20+","2010–2011","168","1.11","166","171","0.66","23125","13731550",
"Canada","Males","Total","20+","2010–2011","294","1.50","291","297","0.51","38195","12992550",
"Canada","Both sexes","Total","20+","2011–2012","227","0.91","225","228","0.40","61555","27165485",
"Canada","Females","Total","20+","2011–2012","167","1.09","164","169","0.66","23235","13950520",
"Canada","Males","Total","20+","2011–2012","290","1.48","287","293","0.51","38325","13214970",
"Canada","Both sexes","Total","20+","2012–2013","230","0.91","228","232","0.40","63490","27618635",
"Canada","Females","Total","20+","2012–2013","170","1.10","168","173","0.64","24145","14172805",
"Canada","Males","Total","20+","2012–2013","293","1.48","290","296","0.50","39350","13445835",
"Canada","Both sexes","Total","20+","2013–2014","226","0.90","224","228","0.40","63320","28033700",
"Canada","Females","Total","20+","2013–2014","166","1.07","164","168","0.65","23865","14376210",
"Canada","Males","Total","20+","2013–2014","289","1.45","286","292","0.50","39455","13657490",
"Canada","Both sexes","Total","20+","2014–2015","225","0.89","223","226","0.40","63750","28395395",
"Canada","Females","Total","20+","2014–2015","166","1.07","164","168","0.64","24125","14556480",
"Canada","Males","Total","20+","2014–2015","286","1.44","284","289","0.50","39630","13838920",
"Canada","Both sexes","Total","20+","2015–2016","223","0.88","221","224","0.40","63975","28738580",
"Canada","Females","Total","20+","2015–2016","164","1.06","162","166","0.64","24200","14729625",
"Canada","Males","Total","20+","2015–2016","284","1.42","281","287","0.50","39775","14008955",
"Canada","Both sexes","Total","20+","2016–2017","227","0.88","225","229","0.39","66135","29133585",
"Canada","Females","Total","20+","2016–2017","168","1.06","166","170","0.63","25015","14927405",
"Canada","Males","Total","20+","2016–2017","289","1.43","287","292","0.49","41120","14206175",
"Canada","Both sexes","Total","20+","2017–2018","225","0.87","224","227","0.39","66565","29524790",
"Canada","Females","Total","20+","2017–2018","166","1.05","164","168","0.63","25100","15122765",
"Canada","Males","Total","20+","2017–2018","288","1.41","285","291","0.49","41470","14402035",
"Canada","Both sexes","Total","20+","2018–2019","224","0.86","223","226","0.39","67235","29987655",
"Canada","Females","Total","20+","2018–2019","167","1.04","165","169","0.62","25675","15351295",
"Canada","Males","Total","20+","2018–2019","284","1.39","281","287","0.49","41555","14636350",
"Canada","Both sexes","Total","20+","2019–2020","214","0.84","212","215","0.39","65210","30522710",
"Canada","Females","Total","20+","2019–2020","157","1.00","155","159","0.64","24510","15613860",
"Canada","Males","Total","20+","2019–2020","273","1.35","270","276","0.50","40705","14908860",
"Canada","Both sexes","Total","20+","2020–2021*","205","0.82","203","207","0.40","62875","30680045",
"Canada","Females","Total","20+","2020–2021*","151","0.98","149","153","0.65","23720","15695420",
"Canada","Males","Total","20+","2020–2021*","261","1.32","259","264","0.51","39160","14984630",
"Canada","Both sexes","Total","20+","2021–2022*","209","0.83","207","210","0.40","63810","30601870",
"Canada","Females","Total","20+","2021–2022*","154","0.99","152","156","0.64","24125","15640950",
