"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.9.1  Provincial government health expenditure by use of funds in millions of current dollars, Alberta, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,311.7,59.2,123.5,16.3,9.4,31.5,4.0,—,2.0,—,557.7,14.0,571.6
1975–1976,417.7,89.3,143.4,18.0,12.0,39.3,6.4,—,2.7,—,728.9,7.1,736.0
1976–1977,475.6,91.4,160.8,21.7,14.0,52.5,6.0,—,2.5,—,824.4,12.4,836.7
1977–1978,482.7,100.4,174.5,23.3,16.1,61.3,7.3,—,3.8,—,869.4,23.8,893.2
1978–1979,498.5,122.3,201.3,27.0,18.9,64.6,26.1,—,7.9,—,966.5,96.4,"1,062.9"
1979–1980,574.7,134.5,231.6,32.1,22.0,81.4,25.0,—,30.8,—,"1,132.1",191.2,"1,323.3"
1980–1981,710.2,160.0,276.6,39.6,26.3,108.4,29.1,—,36.0,—,"1,386.1",186.3,"1,572.5"
1981–1982,906.4,191.8,346.1,53.0,32.6,140.9,38.0,—,52.7,—,"1,761.5",209.4,"1,970.9"
1982–1983,"1,221.7",179.0,439.0,64.2,41.2,176.6,43.8,—,62.3,—,"2,227.7",350.3,"2,578.1"
1983–1984,"1,337.1",200.1,483.1,76.0,49.9,179.1,39.2,—,80.2,—,"2,444.7",388.4,"2,833.1"
1984–1985,"1,383.8",210.6,510.4,83.5,57.8,189.8,38.8,—,81.6,—,"2,556.4",290.5,"2,846.9"
1985–1986,"1,504.1",221.3,550.8,93.4,73.4,206.6,37.4,—,103.3,—,"2,790.3",307.5,"3,097.8"
1986–1987,"1,642.5",237.3,606.4,108.9,86.5,221.1,37.3,—,124.1,—,"3,064.2",325.7,"3,389.9"
1987–1988,"1,629.1",225.8,621.8,98.0,98.8,232.5,51.4,—,93.8,—,"3,051.3",229.5,"3,280.8"
1988–1989,"1,774.6",237.3,660.8,115.5,111.0,213.6,51.1,—,166.3,—,"3,330.2",169.1,"3,499.3"
1989–1990,"1,919.3",257.0,726.4,163.6,176.0,239.1,45.3,—,188.0,—,"3,714.7",175.0,"3,889.7"
1990–1991,"2,081.0",284.3,774.1,169.7,180.7,186.0,48.5,—,193.4,—,"3,917.6",164.3,"4,081.9"
1991–1992,"2,195.8",295.3,857.9,162.9,192.0,219.3,52.5,—,204.4,—,"4,180.0",134.7,"4,314.7"
1992–1993,"2,336.8",284.1,914.0,163.1,210.1,223.1,55.9,—,215.9,—,"4,402.9",156.6,"4,559.6"
1993–1994,"2,230.9",258.7,924.1,159.9,204.3,210.4,51.0,—,230.2,—,"4,269.4",128.3,"4,397.7"
1994–1995,"1,832.5",263.6,872.9,147.2,209.4,341.4,50.6,—,244.0,—,"3,961.6",73.9,"4,035.5"
1995–1996,"1,704.2",473.0,792.6,87.6,213.5,169.8,53.1,—,258.1,—,"3,751.8",102.2,"3,853.9"
1996–1997,"1,857.1",498.2,768.7,82.7,239.0,258.7,64.0,—,293.3,—,"4,061.8",107.4,"4,169.2"
1997–1998,"2,084.1",514.9,803.7,84.1,260.1,354.2,77.9,—,358.9,—,"4,538.0",112.1,"4,650.1"
1998–1999,"2,181.8",495.1,880.5,93.3,284.0,432.8,101.3,—,383.3,—,"4,852.2",163.8,"5,016.1"
1999–2000,"2,479.3",524.4,947.3,104.2,343.0,624.2,103.5,—,393.7,—,"5,519.5",300.3,"5,819.8"
2000–2001,"2,740.3",526.7,"1,017.7",111.6,401.8,623.4,120.8,—,456.3,—,"5,998.5",363.1,"6,361.6"
2001–2002,"3,106.1",573.4,"1,171.4",116.6,467.5,723.0,124.3,—,504.6,—,"6,786.8",468.9,"7,255.7"
2002–2003,"3,370.1",510.7,"1,382.7",97.9,531.2,707.1,143.1,—,578.5,—,"7,321.3",550.8,"7,872.2"
2003–2004,"3,563.5",534.4,"1,523.6",110.6,607.2,756.0,142.8,—,605.9,—,"7,843.9",576.8,"8,420.7"
2004–2005,"4,083.4",614.6,"1,572.5",122.8,660.1,907.9,162.0,—,627.9,—,"8,751.2",615.5,"9,366.6"
2005–2006 ,"4,421.0",620.9,"1,786.1",125.7,725.7,"1,244.1",181.0,—,636.6,—,"9,741.1",736.0,"10,477.1"
2006–2007 ,"4,811.8",674.2,"1,987.7",186.7,770.0,"1,306.3",176.5,—,741.7,—,"10,654.8",950.5,"11,605.3"
2007–2008,"5,194.1",759.9,"2,254.5",192.3,800.0,"1,524.2",178.9,—,742.9,—,"11,646.9",978.9,"12,625.8"
2008–2009 ,"5,756.1",800.2,"2,687.2",210.2,836.9,"1,543.4",245.0,—,764.1,—,"12,843.1","1,267.8","14,110.9"
2009–2010,"6,160.1","1,096.0","2,989.4",217.1,"1,064.8",957.4,191.4,—,"1,113.9",—,"13,790.1",955.1,"14,745.2"
2010–2011 ,"6,983.5","1,376.4","3,285.0",228.3,"1,159.7","1,188.5",217.2,—,"1,367.1",—,"15,805.7","1,102.2","16,907.9"
2011–2012,"6,831.0","1,419.1","3,537.2",236.2,"1,267.6","1,166.4",144.3,—,"1,414.9",—,"16,016.7",905.1,"16,921.7"
2012–2013 ,"7,376.6","1,502.1","3,701.5",253.6,"1,227.8","1,217.5",167.9,740.2,839.9,—,"17,027.0",968.1,"17,995.1"
2013–2014 ,"7,771.2","1,419.8","4,003.8",262.1,"1,280.0","1,242.6",157.2,809.5,933.1,—,"17,879.3",736.5,"18,615.7"
2014–2015,"7,958.4","1,605.1","4,268.3",291.8,"1,318.6","1,378.9",146.9,859.2,891.5,—,"18,718.8",593.1,"19,311.8"
2015–2016,"8,126.1","1,616.1","4,609.9",322.2,"1,491.9","1,398.2",128.1,872.1,879.8,—,"19,444.4",619.1,"20,063.6"
2016–2017,"8,343.2","1,740.4","4,823.7",346.0,"1,556.6","1,530.8",132.7,924.5,938.9,—,"20,336.8",558.7,"20,895.5"
2017–2018,"8,470.1","1,809.6","5,046.5",359.9,"1,556.6","1,530.2",132.1,989.2,"1,023.9",—,"20,918.3",791.3,"21,709.6"
