"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.10.1  Provincial government health expenditure by use of funds in millions of current dollars, British Columbia, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,388.5,46.7,199.1,12.1,17.3,30.6,16.3,—,10.8,—,721.3,22.4,743.7
1975–1976,519.8,70.5,256.6,17.1,23.7,42.9,18.7,—,19.2,—,968.4,21.2,989.7
1976–1977,579.1,81.2,299.7,20.9,26.7,44.1,22.8,—,28.7,—,"1,103.3",10.4,"1,113.7"
1977–1978,638.7,91.1,316.1,20.9,30.1,63.2,22.2,—,32.8,—,"1,215.0",4.6,"1,219.6"
1978–1979,641.7,160.2,357.0,30.1,37.3,81.0,27.7,—,37.0,—,"1,372.2",39.7,"1,411.9"
1979–1980,722.3,196.0,407.9,33.5,46.3,82.9,36.1,—,44.5,—,"1,569.4",35.2,"1,604.6"
1980–1981,975.3,244.5,473.7,48.4,54.1,95.8,39.9,—,57.8,—,"1,989.6",52.0,"2,041.6"
1981–1982,"1,122.0",239.8,597.2,120.5,69.7,121.2,42.8,—,100.9,—,"2,414.2",71.7,"2,485.9"
1982–1983,"1,248.5",304.7,720.4,86.4,90.8,74.5,86.0,—,106.9,—,"2,718.2",80.3,"2,798.5"
1983–1984,"1,312.5",314.1,792.9,71.9,107.2,73.5,88.5,—,123.6,—,"2,884.2",92.6,"2,976.8"
1984–1985,"1,351.2",334.8,811.8,74.5,118.8,83.1,97.3,—,129.4,—,"3,001.0",106.5,"3,107.5"
