"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.7.1  Provincial government health expenditure by use of funds in millions of current dollars, Manitoba, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,187.0,41.5,59.9,4.4,2.8,7.1,7.1,—,5.3,—,315.2,0.1,315.3
1975–1976,233.4,54.0,66.0,5.2,6.4,13.2,9.0,—,9.7,—,396.8,0.4,397.2
1976–1977,264.0,69.2,74.9,6.4,7.9,23.4,9.2,—,11.4,—,466.4,0.3,466.7
1977–1978,285.5,76.4,80.0,8.0,8.6,26.5,9.6,—,12.8,—,507.4,0.1,507.5
1978–1979,284.8,82.5,94.1,9.1,10.5,27.5,9.6,—,11.4,—,529.5,1.2,530.7
1979–1980,312.1,90.5,106.2,10.5,11.1,26.3,9.7,—,13.5,—,580.0,2.8,582.7
1980–1981,367.2,103.9,117.0,12.5,13.3,31.3,10.4,—,17.0,—,672.5,3.7,676.2
1981–1982,447.0,125.6,144.1,14.1,16.5,36.9,10.7,—,20.4,—,815.2,3.3,818.5
1982–1983,508.7,149.6,159.6,17.6,20.9,32.6,13.9,—,25.8,—,928.8,18.4,947.3
1983–1984,559.0,169.6,170.9,18.5,25.8,36.1,15.2,—,28.7,—,"1,023.7",22.2,"1,045.9"
1984–1985,604.8,178.0,179.4,19.9,30.4,37.6,17.0,—,32.3,—,"1,099.3",21.5,"1,120.8"
1985–1986,643.5,189.8,191.4,20.4,33.1,42.6,17.7,—,38.8,—,"1,177.3",25.9,"1,203.2"
1986–1987,694.4,190.5,211.0,21.3,35.1,47.2,18.9,—,46.0,—,"1,264.4",27.4,"1,291.8"
1987–1988,743.7,204.0,224.8,20.5,44.7,50.0,18.7,—,49.5,—,"1,355.8",33.3,"1,389.1"
1988–1989,795.0,223.3,228.0,21.3,48.4,54.0,19.7,—,54.2,—,"1,443.9",44.5,"1,488.4"
1989–1990,841.8,239.8,246.7,21.4,44.6,63.5,23.4,—,87.7,—,"1,568.8",57.4,"1,626.2"
1990–1991,910.0,263.3,253.3,16.6,49.8,70.4,32.2,—,96.5,—,"1,692.2",81.6,"1,773.8"
1991–1992,894.6,267.4,286.7,17.6,57.3,70.1,20.2,—,97.5,—,"1,711.4",79.1,"1,790.5"
1992–1993,973.8,289.0,284.8,20.5,71.7,73.6,20.4,—,92.7,—,"1,826.6",64.7,"1,891.3"
1993–1994,953.1,279.8,287.1,20.0,66.8,72.2,27.0,—,95.8,—,"1,801.7",46.4,"1,848.1"
1994–1995,970.1,290.4,276.5,19.7,59.2,86.9,24.5,—,102.4,—,"1,829.9",38.1,"1,868.0"
1995–1996,974.2,296.8,271.3,21.0,86.4,86.7,24.2,—,120.0,—,"1,880.7",36.7,"1,917.3"
1996–1997,906.8,300.9,337.3,16.7,69.6,90.2,25.1,—,136.3,—,"1,882.8",46.0,"1,928.8"
1997–1998,918.7,299.4,353.2,16.6,75.1,85.4,26.4,—,149.7,—,"1,924.5",62.9,"1,987.4"
1998–1999,983.4,311.4,391.2,16.9,89.5,94.2,30.3,—,159.7,—,"2,076.6",78.5,"2,155.1"
1999–2000,"1,011.9",370.1,434.8,18.1,111.0,148.7,59.8,—,185.5,—,"2,339.9",124.4,"2,464.2"
2000–2001,"1,085.5",416.1,478.1,18.4,137.6,168.3,36.4,—,209.2,—,"2,549.5",127.8,"2,677.3"
2001–2002,"1,163.0",453.3,513.5,21.2,168.6,153.7,37.1,—,218.4,—,"2,728.9",108.1,"2,837.0"
2002–2003,"1,245.1",478.0,539.8,16.8,196.6,150.2,45.0,—,235.2,—,"2,906.7",115.4,"3,022.1"
2003–2004,"1,313.4",501.2,584.5,18.0,224.7,189.6,49.3,—,237.6,—,"3,118.3",156.4,"3,274.8"
2004–2005,"1,401.3",525.5,627.4,18.4,237.8,208.6,49.7,—,259.8,—,"3,328.4",170.8,"3,499.2"
2005–2006 ,"1,477.7",564.5,679.0,20.8,253.4,232.9,44.2,—,280.0,—,"3,552.5",198.9,"3,751.4"
2006–2007 ,"1,595.4",580.2,728.2,20.8,262.5,245.8,46.2,—,291.6,—,"3,770.8",189.6,"3,960.3"
2007–2008,"1,742.9",617.5,753.9,22.8,274.7,261.3,42.4,—,327.1,—,"4,042.7",140.4,"4,183.1"
2008–2009,"1,922.9",669.2,822.5,23.3,281.2,290.3,42.7,—,351.6,—,"4,403.7",114.4,"4,518.1"
2009–2010,"2,050.6",683.6,866.6,26.3,289.2,313.6,53.3,—,378.0,—,"4,661.3",214.3,"4,875.6"
2010–2011 ,"2,142.4",706.7,941.2,29.5,296.9,321.5,52.9,—,391.2,—,"4,882.4",197.0,"5,079.4"
2011–2012,"2,226.0",728.2,949.2,31.5,309.1,333.3,53.7,—,414.1,—,"5,045.2",245.3,"5,290.5"
2012–2013 ,"2,262.6",788.4,"1,010.9",30.7,303.2,348.5,57.4,357.7,121.1,—,"5,280.5",344.5,"5,625.1"
2013–2014 ,"2,318.7",820.2,"1,109.7",33.6,299.2,365.1,54.9,368.8,127.7,—,"5,497.9",334.8,"5,832.8"
2014–2015,"2,297.5",874.2,"1,178.4",37.7,305.3,396.1,47.8,376.7,141.9,—,"5,655.5",160.5,"5,816.0"
2015–2016,"2,450.1",890.8,"1,236.8",38.5,330.6,449.7,45.9,386.7,163.2,—,"5,992.2",191.8,"6,184.1"
2016–2017,"2,488.6",920.6,"1,317.3",40.7,335.1,442.0,43.6,396.3,162.3,—,"6,146.3",64.7,"6,211.0"
2017–2018,"2,543.2",939.3,"1,279.3",37.6,345.4,457.9,43.3,418.3,183.5,—,"6,247.8",132.9,"6,380.7"
2018–2019,"2,539.0",962.0,"1,367.4",38.2,344.5,461.7,43.1,423.7,189.2,—,"6,368.8",90.5,"6,459.3"
2019–2020,"2,547.3",978.0,"1,420.8",39.0,359.4,488.2,41.2,425.0,207.2,0.0,"6,506.1",153.2,"6,659.2"
2020–2021,"2,513.7","1,005.2","1,368.6",31.7,363.5,571.6,38.5,415.1,206.8,711.6,"7,226.3",155.9,"7,382.3"
2021–2022,"2,697.0","1,020.1","1,404.2",36.5,401.2,582.5,37.6,448.6,214.8,593.3,"7,435.7",159.7,"7,595.5"
2022–2023,"3,246.8","1,104.8","1,505.7",39.2,438.1,661.0,37.9,418.5,209.4,—,"7,661.3",312.2,"7,973.5"
