"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.4.1  Provincial government health expenditure by use of funds in millions of current dollars, New Brunswick, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,107.4,3.9,26.3,0.8,1.3,5.2,2.9,—,0.3,—,148.1,21.8,169.9
1975–1976,132.1,14.6,32.2,1.0,4.1,5.8,3.7,—,0.3,—,193.9,21.1,214.9
1976–1977,156.8,22.8,33.9,0.8,7.2,7.7,3.9,—,0.3,—,233.4,18.2,251.6
1977–1978,170.0,27.4,37.7,0.9,8.8,8.8,3.9,—,0.3,—,257.8,20.6,278.4
1978–1979,184.5,31.2,41.5,1.0,10.4,12.0,3.6,—,0.4,—,284.5,21.5,306.0
1979–1980,196.3,41.3,47.5,1.1,12.6,13.4,4.5,—,0.6,—,317.4,29.5,346.9
1980–1981,229.3,51.8,58.5,1.3,14.3,16.3,6.5,—,1.4,—,379.3,31.8,411.1
1981–1982,277.2,64.2,74.0,1.9,18.5,19.3,7.4,—,2.8,—,465.4,35.2,500.6
1982–1983,325.8,80.3,94.1,2.7,23.7,22.8,9.9,—,4.5,—,563.9,42.0,605.9
1983–1984,338.4,84.8,106.2,2.9,27.8,24.1,8.6,—,5.6,—,598.3,36.0,634.3
1984–1985,365.2,89.0,110.6,4.9,30.2,26.1,9.4,—,8.8,—,644.2,39.8,684.0
1985–1986,380.6,93.1,121.1,5.3,35.1,26.9,10.2,—,10.4,—,682.6,37.0,719.6
1986–1987,396.1,87.9,129.9,5.3,41.1,27.9,9.6,—,11.9,—,709.7,62.7,772.4
1987–1988,435.7,91.2,143.2,5.7,47.9,28.1,9.0,—,14.9,—,775.7,84.1,859.8
1988–1989,470.9,98.2,157.9,5.9,48.7,30.0,9.6,—,17.7,—,838.9,79.1,918.0
1989–1990,516.9,104.1,172.8,6.0,54.0,29.3,14.7,—,20.2,—,918.0,81.9,999.9
1990–1991,565.6,109.8,173.8,6.8,59.8,31.2,16.6,—,35.3,—,998.8,73.1,"1,071.9"
1991–1992,599.6,113.9,191.2,7.3,63.3,31.3,16.0,—,38.5,—,"1,061.0",54.1,"1,115.2"
1992–1993,633.7,135.6,193.1,6.3,58.9,23.8,16.6,—,39.3,—,"1,107.3",45.4,"1,152.6"
1993–1994,613.4,139.7,197.3,4.6,56.1,38.2,17.9,—,48.3,—,"1,115.4",44.7,"1,160.0"
1994–1995,624.9,141.0,208.5,4.8,55.9,39.0,17.9,—,49.2,—,"1,141.3",62.4,"1,203.7"
1995–1996,624.4,139.5,208.5,4.8,59.1,47.0,18.1,—,50.3,—,"1,151.7",82.6,"1,234.3"
1996–1997,636.7,139.8,215.0,4.7,53.4,45.9,17.9,—,52.4,—,"1,165.7",64.4,"1,230.0"
1997–1998,620.6,144.9,225.9,5.1,57.1,47.9,19.9,—,54.2,—,"1,175.6",39.0,"1,214.6"
1998–1999,658.7,151.8,234.9,4.5,63.8,50.8,23.7,—,67.6,—,"1,256.0",32.9,"1,288.9"
1999–2000,716.6,159.4,258.1,4.3,70.7,52.2,25.3,—,80.1,—,"1,366.6",32.5,"1,399.1"
2000–2001,763.8,164.8,268.6,4.3,80.1,58.1,23.8,—,87.7,—,"1,451.2",42.4,"1,493.6"
2001–2002,814.8,176.3,299.2,4.3,92.3,61.2,29.7,—,92.0,—,"1,569.7",55.0,"1,624.7"
2002–2003,853.0,184.6,316.3,4.2,103.2,58.0,33.4,—,97.6,—,"1,650.2",51.7,"1,701.9"
2003–2004,906.8,190.8,348.6,4.5,114.1,63.9,31.3,—,101.3,—,"1,761.5",66.5,"1,827.9"
2004–2005,982.2,200.1,379.7,4.3,126.7,65.4,30.7,—,109.6,—,"1,898.8",100.0,"1,998.8"
2005–2006,"1,035.9",216.1,397.3,4.6,137.7,81.9,29.8,—,124.4,—,"2,027.8",149.1,"2,176.9"
