"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.1.1  Provincial government health expenditure by use of funds in millions of current dollars, Newfoundland and Labrador, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,90.6,11.2,23.0,1.9,2.9,5.3,2.1,—,4.3,—,141.2,33.4,174.6
1975–1976,118.0,15.2,27.0,2.6,3.5,6.1,2.5,—,5.5,—,180.3,27.1,207.4
1976–1977,125.1,23.2,30.9,3.0,3.4,6.8,2.8,—,6.6,—,202.0,20.9,222.9
1977–1978,141.1,28.4,32.0,3.3,3.8,5.0,2.8,—,7.5,—,223.9,13.1,237.0
1978–1979,161.3,31.6,33.6,4.4,4.5,7.3,3.0,—,8.0,—,253.8,11.6,265.4
1979–1980,187.8,39.1,38.0,4.6,5.3,8.7,3.4,—,8.9,—,295.7,12.2,307.9
1980–1981,212.5,41.7,45.6,5.4,7.5,9.8,4.0,—,10.6,—,337.1,9.4,346.5
1981–1982,251.5,47.1,51.6,7.4,9.3,12.9,4.6,—,12.4,—,396.8,12.3,409.1
1982–1983,282.5,59.4,61.1,9.4,11.7,14.5,6.4,—,15.8,—,460.8,18.7,479.5
1983–1984,310.4,65.7,67.4,9.5,13.9,14.6,6.1,—,16.3,—,503.9,23.9,527.8
1984–1985,314.4,65.7,75.1,9.3,16.0,14.2,5.4,—,17.4,—,517.4,19.5,536.9
1985–1986,326.7,71.0,78.1,9.5,18.7,16.2,6.6,—,17.4,—,544.2,25.4,569.6
1986–1987,357.2,78.8,85.4,8.9,22.4,16.8,7.4,—,19.0,—,596.0,29.1,625.1
1987–1988,376.4,85.2,95.2,9.6,25.5,18.6,9.3,—,20.7,—,640.4,31.2,671.6
1988–1989,411.7,92.6,105.8,10.1,29.1,20.4,9.6,—,23.3,—,702.5,12.0,714.5
1989–1990,432.4,105.1,114.7,9.9,31.9,21.4,11.2,—,26.1,—,752.7,12.6,765.3
1990–1991,484.5,118.0,126.6,10.5,36.5,23.9,11.7,—,28.5,—,840.2,16.2,856.5
1991–1992,494.9,119.9,127.0,8.0,41.6,23.0,11.1,—,26.4,—,851.8,13.9,865.6
1992–1993,516.4,105.9,131.7,6.8,44.6,23.1,12.7,—,24.1,—,865.3,19.4,884.7
1993–1994,506.1,104.4,132.3,6.2,48.8,26.5,11.2,—,23.5,—,859.0,20.2,879.2
1994–1995,524.6,105.5,135.8,6.2,53.2,29.2,12.0,—,24.2,—,890.7,19.9,910.6
