"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.3.1  Provincial government health expenditure by use of funds in millions of current dollars, Nova Scotia, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,139.2,7.5,45.7,2.8,2.8,12.6,6.2,—,1.2,—,218.0,10.1,228.1
1975–1976,171.3,10.6,55.6,4.2,7.3,7.8,7.6,—,1.8,—,266.2,13.6,279.8
1976–1977,196.2,14.4,60.6,4.6,8.9,8.7,7.8,—,1.9,—,303.1,7.1,310.3
1977–1978,207.4,23.4,66.0,5.4,10.7,9.7,7.7,—,2.5,—,332.6,10.0,342.7
1978–1979,227.3,27.3,72.0,6.9,12.6,12.5,5.4,—,3.0,—,367.0,12.1,379.1
1979–1980,256.2,31.0,78.8,8.9,15.8,13.0,5.0,—,3.5,—,412.2,12.2,424.4
1980–1981,288.0,35.4,90.0,9.3,18.5,15.7,5.8,—,3.8,—,466.4,24.7,491.1
1981–1982,370.7,41.9,92.7,11.7,23.8,18.1,7.1,—,5.6,—,571.7,27.9,599.5
1982–1983,415.3,47.4,107.7,13.5,30.4,20.0,9.1,—,7.3,—,650.7,33.0,683.7
1983–1984,460.4,50.7,117.7,14.8,36.0,21.3,10.9,—,8.7,—,720.5,23.1,743.6
1984–1985,501.5,55.0,132.9,16.1,40.4,22.5,11.3,—,10.7,—,790.4,28.9,819.3
1985–1986,536.0,56.6,146.6,17.0,47.2,22.6,12.1,—,11.8,—,849.7,33.8,883.6
1986–1987,566.8,57.6,154.3,17.9,55.1,24.2,12.7,—,12.6,—,901.2,27.0,928.1
1987–1988,602.1,60.2,167.4,18.8,64.7,28.3,13.2,—,13.9,—,968.6,38.5,"1,007.1"
1988–1989,647.2,68.7,179.3,19.3,74.8,31.8,15.5,—,17.6,—,"1,054.1",42.0,"1,096.1"
1989–1990,703.3,87.0,185.1,19.3,84.6,35.7,15.6,—,21.3,—,"1,152.0",51.7,"1,203.7"
1990–1991,754.0,96.2,199.0,19.9,82.4,36.5,15.3,—,27.3,—,"1,230.5",50.4,"1,280.9"
1991–1992,808.7,105.2,209.6,17.1,83.2,40.8,17.5,—,28.1,—,"1,310.2",41.9,"1,352.1"
1992–1993,814.8,105.4,213.2,13.9,90.9,38.7,18.0,—,28.2,—,"1,323.0",37.2,"1,360.2"
1993–1994,725.0,107.3,264.5,12.1,87.7,36.1,19.0,—,20.7,—,"1,272.5",40.6,"1,313.1"
1994–1995,685.7,102.1,251.2,12.8,81.7,22.8,33.5,—,27.7,—,"1,217.4",47.4,"1,264.8"
1995–1996,696.8,141.9,246.5,12.5,84.6,27.1,22.9,—,41.8,—,"1,274.2",36.4,"1,310.6"
1996–1997,708.7,145.7,267.6,11.9,82.9,29.9,22.2,—,39.6,—,"1,308.4",19.6,"1,328.0"
1997–1998,920.4,159.4,295.2,9.5,88.2,47.5,18.1,—,61.6,—,"1,600.0",24.8,"1,624.7"
1998–1999,894.8,179.1,317.4,11.4,103.2,29.7,22.1,—,85.3,—,"1,643.0",24.8,"1,667.8"
1999–2000,935.3,210.0,347.6,11.2,113.2,35.3,19.7,—,78.1,—,"1,750.3",29.2,"1,779.5"
2000–2001,894.4,226.4,358.0,10.5,118.6,34.2,26.2,—,81.6,—,"1,750.0",45.1,"1,795.2"
2001–2002,927.4,246.5,366.8,10.9,132.1,35.6,27.8,—,94.6,—,"1,841.5",73.6,"1,915.1"
2002–2003,"1,025.7",262.3,394.2,9.1,143.7,45.9,31.5,—,95.5,—,"2,007.8",103.0,"2,110.8"
2003–2004,"1,111.4",289.0,445.5,8.6,160.4,37.1,33.4,—,104.7,—,"2,190.0",110.8,"2,300.9"
2004–2005,"1,144.0",325.9,498.2,9.1,173.2,35.5,34.7,—,113.4,—,"2,333.9",67.6,"2,401.5"
2005–2006 ,"1,239.6",379.1,529.5,9.8,190.3,46.4,43.5,—,113.8,—,"2,551.9",79.6,"2,631.5"
2006–2007 ,"1,371.6",417.6,561.9,10.0,202.7,109.6,47.1,—,129.0,—,"2,849.4",91.7,"2,941.0"
2007–2008,"1,443.4",445.5,581.1,10.4,208.9,125.0,53.8,—,142.0,—,"3,010.1",94.9,"3,105.0"
2008–2009 ,"1,521.9",458.1,608.6,11.2,224.8,126.5,57.5,—,147.3,—,"3,155.8",123.3,"3,279.1"
2009–2010,"1,618.3",500.9,631.5,11.5,250.3,136.9,52.3,—,140.3,—,"3,342.1",81.8,"3,423.9"
2010–2011 ,"1,671.5",578.3,704.6,13.1,260.6,153.5,53.4,—,273.7,—,"3,708.7",140.7,"3,849.5"
2011–2012,"1,680.5",613.3,732.3,13.0,270.5,107.6,55.5,—,290.3,—,"3,763.0",267.2,"4,030.2"
2012–2013,"1,711.9",644.4,752.1,14.1,263.6,111.5,56.2,222.2,115.9,—,"3,892.0",215.6,"4,107.5"
2013–2014 ,"1,788.6",670.6,760.8,15.1,270.4,93.4,52.2,241.6,120.2,—,"4,012.9",120.3,"4,133.2"
2014–2015,"1,849.4",700.8,804.2,17.2,265.3,95.7,50.6,269.0,125.9,—,"4,178.0",43.8,"4,221.8"
