"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.12.1  Territorial government health expenditure by use of funds in millions of current dollars, Northwest Territories, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,6.9,0.8,2.5,0.0,0.1,2.0,0.2,—,0.1,—,12.5,0.3,12.8
1975–1976,9.3,0.9,2.7,0.0,0.1,2.2,0.2,—,0.0,—,15.5,0.5,16.1
1976–1977,8.9,1.1,2.7,0.0,0.1,2.8,0.5,—,0.0,—,16.2,3.7,19.9
1977–1978,13.9,1.3,3.0,0.0,0.1,3.4,0.5,—,0.1,—,22.3,2.2,24.6
1978–1979,14.8,1.5,3.1,0.0,0.5,3.3,0.7,—,0.0,—,23.9,5.3,29.2
1979–1980,17.4,0.8,3.6,0.0,0.4,3.3,1.1,—,0.0,—,26.6,0.9,27.5
1980–1981,18.3,1.2,4.0,0.0,0.4,4.0,1.0,—,0.0,—,28.9,1.0,29.9
1981–1982,20.8,1.4,5.4,0.0,0.5,5.0,1.2,—,1.7,—,36.1,1.3,37.4
1982–1983,31.5,1.4,7.8,0.0,0.7,7.7,1.5,—,2.9,—,53.6,2.0,55.6
1983–1984,32.9,1.8,8.1,0.0,0.9,7.1,1.6,—,3.3,—,55.6,2.9,58.5
1984–1985,35.0,2.1,9.6,0.0,1.0,7.3,2.0,—,3.0,—,59.9,3.2,63.1
1985–1986,42.7,2.4,9.7,0.0,1.1,7.3,2.3,—,3.4,—,68.9,5.9,74.8
1986–1987,49.7,2.8,11.3,0.0,1.5,8.1,3.1,—,4.5,—,81.1,15.5,96.6
1987–1988,57.5,2.8,12.2,0.0,1.8,8.1,3.8,—,5.4,—,91.5,16.9,108.4
1988–1989,94.1,3.1,14.1,2.4,2.0,10.0,7.7,—,22.5,—,155.9,7.5,163.4
1989–1990,103.2,4.1,13.7,2.6,2.1,10.9,8.5,—,25.0,—,170.2,8.2,178.3
1990–1991,109.8,5.0,15.8,2.5,2.5,11.3,9.7,—,25.7,—,182.2,7.6,189.8
1991–1992,139.8,5.6,17.2,2.5,3.1,13.6,9.6,—,27.6,—,218.9,4.6,223.5
1992–1993,120.7,6.3,18.0,3.3,3.8,13.3,10.3,—,28.5,—,204.0,6.1,210.1
1993–1994,125.5,7.6,19.0,2.5,2.0,14.8,12.7,—,30.5,—,214.5,6.1,220.6
1994–1995,115.2,8.2,19.3,2.5,1.0,16.3,11.9,—,33.2,—,207.6,5.4,213.0
1995–1996,115.9,12.3,20.0,2.2,1.2,15.9,8.3,—,39.0,—,214.7,6.9,221.6
1996–1997,89.9,12.4,20.5,2.3,1.3,16.0,7.6,—,40.1,—,190.2,5.5,195.7
1997–1998,108.0,11.7,19.4,2.8,1.5,13.7,7.7,—,44.5,—,209.1,9.7,218.8
1998–1999,119.5,11.1,20.0,2.8,1.7,14.2,8.9,—,43.9,—,222.1,12.2,234.4
1999–2000,71.8,8.5,18.6,1.3,1.9,8.3,10.3,—,16.2,—,136.8,7.9,144.6
2000–2001,78.3,8.5,20.5,1.2,2.0,8.9,13.6,—,17.0,—,150.0,6.8,156.8
2001–2002,83.8,10.4,22.5,1.3,2.3,9.5,14.1,—,19.1,—,163.2,14.7,177.9
2002–2003,84.8,12.2,23.8,1.3,2.4,9.2,11.4,—,20.4,—,165.5,22.4,188.0
2003–2004,91.6,14.0,32.3,1.5,3.5,8.0,11.3,—,23.3,—,185.4,11.1,196.5
2004–2005,106.7,13.2,34.8,1.7,3.7,8.2,11.6,—,24.0,—,203.8,11.5,215.3
2005–2006 ,109.1,16.4,36.0,1.8,3.8,7.4,8.3,—,25.4,—,208.2,8.8,217.0
2006–2007 ,124.0,16.8,37.9,1.8,4.4,7.1,9.3,—,25.4,—,226.7,5.6,232.3
2007–2008,141.9,17.7,41.0,2.1,5.0,7.6,10.4,—,27.3,—,252.9,6.1,259.0
2008–2009 ,141.4,19.2,43.2,2.5,5.2,8.3,7.3,—,33.2,—,260.4,20.0,280.4
2009–2010,146.9,23.0,46.9,2.8,5.5,7.6,7.3,—,29.9,—,269.9,23.2,293.1
2010–2011 ,162.3,39.0,18.5,2.4,6.6,36.4,19.7,—,30.8,—,315.7,11.7,327.4
2011–2012 ,173.4,42.0,18.1,2.5,6.5,34.5,19.9,—,35.9,—,332.9,27.0,359.9
2012–2013 ,198.6,44.4,15.7,2.0,7.0,26.1,19.3,5.3,32.9,—,351.4,16.7,368.1
2013–2014,211.0,47.6,15.7,2.4,6.4,28.8,22.5,5.8,33.7,—,373.8,52.7,426.5
2014–2015,209.5,51.5,18.1,3.2,8.1,35.0,25.7,5.9,33.9,—,390.9,57.5,448.4
2015–2016,222.0,53.7,18.3,3.2,8.9,36.7,26.7,6.5,36.9,—,412.9,66.9,479.7
2016–2017,230.6,58.5,19.4,2.8,8.2,39.3,29.0,6.8,40.0,—,434.5,106.6,541.1
2017–2018,224.3,63.6,17.6,3.5,9.4,40.4,25.8,7.1,43.1,—,434.8,57.5,492.3
2018–2019,246.7,70.3,17.4,3.7,9.5,41.3,18.9,6.6,43.5,—,457.8,89.2,547.0
2019–2020,302.3,70.1,14.7,4.0,10.4,46.0,18.8,10.4,42.8,0.0,519.6,22.6,542.2
2020–2021,300.1,79.1,17.4,3.0,8.7,16.5,22.0,8.3,43.1,64.7,563.0,20.3,583.3
2021–2022,313.8,86.5,14.5,2.9,9.9,18.3,23.2,5.3,39.8,65.1,579.3,38.1,617.4
2022–2023,341.5,91.6,24.4,3.7,9.7,49.6,24.7,8.5,47.4,—,601.1,36.7,637.9
2023–2024 f,350.0,94.0,27.0,3.3,9.3,50.0,26.8,9.9,55.3,—,625.6,19.1,644.7
2024–2025 f,353.8,112.3,28.5,3.0,9.3,51.4,31.2,9.9,55.2,—,654.6,57.0,711.6
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,34.2,17.7,9.0,—,-8.3,12.0,32.0,—,-66.2,—,23.8,91.0,25.2
1976–1977,-3.8,19.7,0.2,—,-18.2,24.6,129.5,—,77.3,—,4.4,600.4,24.0
1977–1978,55.5,18.9,9.5,—,39.7,21.0,3.1,—,82.1,—,37.6,-39.5,23.3
1978–1979,6.2,11.0,3.4,—,496.6,-2.9,37.8,—,-100.0,—,7.1,137.6,19.0
1979–1980,17.4,-45.6,15.1,—,-18.3,0.1,54.6,—,—,—,11.2,-82.8,-6.0
1980–1981,5.2,50.8,11.7,—,-2.3,22.7,-15.3,—,—,—,8.6,12.6,8.8
1981–1982,14.0,15.3,36.0,—,21.7,25.3,26.9,—,—,—,25.0,23.4,25.0
1982–1983,51.3,1.1,44.2,—,34.3,54.5,18.6,—,74.3,—,48.4,58.5,48.8
1983–1984,4.4,23.2,3.2,—,38.0,-8.9,12.1,—,11.1,—,3.8,43.0,5.2
1984–1985,6.4,20.6,19.0,—,3.3,3.0,22.4,—,-8.6,—,7.8,9.6,7.9
1985–1986,21.9,12.0,1.4,—,14.3,0.4,14.8,—,13.4,—,14.9,85.8,18.5
1986–1987,16.5,20.0,15.8,—,34.9,10.9,35.6,—,34.5,—,17.8,163.3,29.2
1987–1988,15.6,-3.3,8.0,—,18.8,0.1,22.8,—,18.0,—,12.8,8.7,12.2
1988–1989,63.6,14.3,15.6,—,10.9,23.0,101.3,—,320.7,—,70.4,-55.6,50.8
1989–1990,9.7,30.5,-2.8,6.6,6.6,9.7,10.2,—,10.9,—,9.1,9.4,9.1
1990–1991,6.4,21.6,15.0,-2.5,16.2,3.5,13.9,—,2.7,—,7.1,-7.2,6.4
1991–1992,27.3,11.4,9.0,-2.2,27.8,20.0,-0.7,—,7.4,—,20.1,-39.1,17.8
1992–1993,-13.7,12.4,4.6,36.0,20.2,-2.0,6.9,—,3.2,—,-6.8,31.1,-6.0
1993–1994,4.0,22.1,5.4,-24.9,-46.2,11.2,23.6,—,7.1,—,5.2,0.0,5.0
1994–1995,-8.2,6.9,2.0,0.3,-52.3,10.4,-6.2,—,8.9,—,-3.3,-10.4,-3.5
1995–1996,0.6,50.5,3.3,-12.1,22.7,-2.9,-30.2,—,17.4,—,3.4,27.1,4.0
1996–1997,-22.5,0.9,2.8,4.6,13.0,0.9,-8.4,—,3.0,—,-11.4,-20.0,-11.7
1997–1998,20.1,-6.0,-5.4,19.3,9.0,-14.6,0.9,—,10.8,—,9.9,75.9,11.8
1998–1999,10.7,-5.0,3.0,2.1,18.2,3.7,16.2,—,-1.3,—,6.3,25.9,7.1
1999–2000,-39.9,-23.6,-7.2,-54.9,7.4,-41.3,15.1,—,-63.0,—,-38.4,-35.6,-38.3
2000–2001,9.1,0.7,10.2,-3.6,6.4,7.0,32.9,—,4.7,—,9.7,-13.8,8.4
2001–2002,7.1,21.5,10.2,9.3,15.9,7.1,3.7,—,12.6,—,8.8,116.8,13.5
2002–2003,1.1,18.3,5.7,-1.4,4.9,-3.7,-19.5,—,6.6,—,1.4,52.3,5.6
2003–2004,8.0,14.4,35.5,16.3,44.3,-13.3,-1.1,—,14.2,—,12.0,-50.3,4.6
2004–2005,16.5,-5.5,7.8,7.8,5.5,2.9,3.2,—,3.1,—,10.0,2.8,9.6
2005–2006 ,2.3,23.9,3.5,9.6,3.2,-9.4,-28.8,—,5.8,—,2.1,-23.0,0.8
2006–2007 ,13.6,2.7,5.3,1.7,17.0,-4.7,12.0,—,-0.1,—,8.9,-36.2,7.1
2007–2008,14.5,4.9,8.0,16.5,13.4,7.1,12.3,—,7.5,—,11.6,8.3,11.5
2008–2009 ,-0.4,8.8,5.6,18.3,3.4,10.1,-30.1,—,21.7,—,2.9,227.9,8.2
2009–2010,3.9,19.5,8.5,9.7,5.5,-8.6,0.7,—,-10.0,—,3.7,16.0,4.6
2010–2011 ,10.4,69.6,-60.6,-12.3,20.3,377.7,168.6,—,3.1,—,16.9,-49.6,11.7
2011–2012,6.9,7.7,-2.0,3.7,-1.6,-5.0,1.2,—,16.4,—,5.5,130.9,9.9
2012–2013 ,14.5,5.7,-13.1,-19.3,8.8,-24.3,-2.9,—,-8.3,—,5.6,-38.1,2.3
2013–2014,6.3,7.2,-0.1,17.6,-9.5,10.0,16.2,10.7,2.5,—,6.4,215.3,15.9
2014–2015,-0.7,8.3,15.2,33.6,27.3,21.6,14.2,1.4,0.4,—,4.6,9.2,5.1
2015–2016,6.0,4.2,1.0,-0.9,9.5,5.1,4.1,10.1,8.9,—,5.6,16.2,7.0
2016–2017,3.8,9.0,5.7,-12.4,-7.3,6.9,8.6,4.9,8.5,—,5.2,59.4,12.8
2017–2018,-2.7,8.7,-9.3,25.6,13.8,3.0,-11.0,4.2,7.8,—,0.1,-46.0,-9.0
2018–2019,10.0,10.5,-1.0,5.4,1.2,2.2,-26.6,-8.0,0.9,—,5.3,55.0,11.1
2019–2020,22.5,-0.2,-15.3,9.2,10.1,11.5,-0.8,58.7,-1.5,—,13.5,-74.6,-0.9
