"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.5.1  Provincial government health expenditure by use of funds in millions of current dollars, Quebec, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,"1,221.8",150.1,438.5,22.9,32.8,85.8,75.4,—,14.7,—,"2,042.0",99.6,"2,141.7"
1975–1976,"1,526.1",215.9,488.4,32.1,47.2,115.9,99.5,—,20.7,—,"2,545.8",115.3,"2,661.1"
1976–1977,"1,736.7",303.3,555.0,40.3,52.2,142.3,119.7,—,29.2,—,"2,978.7",97.5,"3,076.3"
1977–1978,"1,773.2",383.1,610.7,52.4,71.2,158.6,132.3,—,36.8,—,"3,218.4",115.1,"3,333.5"
1978–1979,"2,127.4",439.8,685.9,66.0,94.2,113.6,97.4,—,49.6,—,"3,674.0",97.3,"3,771.3"
1979–1980,"2,308.9",498.1,770.4,104.1,109.5,133.6,104.2,—,65.2,—,"4,094.0",99.7,"4,193.7"
1980–1981,"2,623.8",567.2,880.3,129.5,131.4,147.5,110.9,—,83.2,—,"4,673.8",72.0,"4,745.9"
1981–1982,"3,024.0",716.0,947.5,144.1,152.6,159.0,124.5,—,101.4,—,"5,369.0",73.2,"5,442.3"
1982–1983,"3,676.4",841.2,970.4,119.6,150.4,181.2,140.4,—,63.7,—,"6,143.3",177.4,"6,320.7"
1983–1984,"3,840.0",905.4,"1,143.1",131.2,178.4,223.6,151.1,—,77.4,—,"6,650.3",230.7,"6,880.9"
1984–1985,"3,961.0",920.5,"1,207.5",147.1,206.8,286.2,188.5,—,94.1,—,"7,011.7",248.7,"7,260.3"
1985–1986,"4,098.8",965.8,"1,323.7",148.1,264.9,342.9,214.3,—,133.0,—,"7,491.6",191.2,"7,682.8"
1986–1987,"4,414.0",640.0,"1,397.1",168.7,299.9,239.6,214.2,—,165.0,—,"7,538.5",187.7,"7,726.2"
1987–1988,"4,856.2",698.6,"1,503.2",170.5,345.1,264.1,227.7,—,181.7,—,"8,247.2",188.0,"8,435.1"
1988–1989,"5,173.9",753.2,"1,625.3",177.6,397.1,267.8,238.4,—,196.9,—,"8,830.1",310.1,"9,140.2"
1989–1990,"5,551.4",824.5,"1,734.0",182.1,450.5,278.6,254.4,—,219.8,—,"9,495.2",300.5,"9,795.7"
1990–1991,"4,326.0","2,122.0","1,796.3",171.8,520.1,420.6,317.8,—,524.3,—,"10,198.8",333.4,"10,532.2"
1991–1992,"4,660.4","2,267.8","1,925.4",203.8,629.0,423.5,298.8,—,737.6,—,"11,146.4",442.4,"11,588.8"
1992–1993,"4,839.5","2,333.0","1,990.9",168.2,652.9,403.7,319.3,—,651.5,—,"11,359.0",415.2,"11,774.2"
1993–1994,"4,948.1","2,368.5","2,066.5",158.8,692.9,355.3,331.2,—,553.9,—,"11,475.1",437.6,"11,912.8"
1994–1995,"4,950.9","2,357.3","2,116.9",157.0,757.2,376.8,322.7,—,534.2,—,"11,573.0",502.8,"12,075.8"
1995–1996,"5,039.4","2,363.0","2,223.3",150.1,824.8,363.1,230.2,—,523.6,—,"11,717.3",477.4,"12,194.7"
1996–1997,"4,926.2","2,283.9","2,246.4",133.8,707.6,427.3,221.7,—,500.8,—,"11,447.7",435.1,"11,882.8"
1997–1998,"5,313.6","2,369.0","2,210.0",135.4,699.2,393.4,230.6,—,491.3,—,"11,842.5",469.3,"12,311.8"
1998–1999,"5,643.7","2,529.5","2,415.7",128.5,806.3,437.3,228.5,—,553.9,—,"12,743.4",613.0,"13,356.5"
1999–2000,"5,609.9","2,462.9","2,509.3",134.2,960.5,441.9,247.6,—,568.8,—,"12,935.2",636.3,"13,571.5"
2000–2001,"6,139.5","2,657.4","2,624.2",127.6,"1,195.0",491.8,245.8,—,609.7,—,"14,091.1",690.2,"14,781.3"
2001–2002,"6,409.7","2,779.2","2,791.0",131.3,"1,354.9",674.7,262.9,—,656.8,—,"15,060.4",732.2,"15,792.6"
