"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.8.1  Provincial government health expenditure by use of funds in millions of current dollars, Saskatchewan, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,151.9,18.6,47.1,5.6,3.5,18.4,5.9,—,2.6,—,253.6,6.2,259.8
1975–1976,185.4,20.7,54.2,7.8,11.4,17.7,7.1,—,2.9,—,307.2,9.1,316.2
1976–1977,229.7,22.9,62.5,9.3,17.9,20.6,7.0,—,3.4,—,373.3,6.8,380.0
1977–1978,252.1,24.8,68.8,11.5,19.3,23.3,7.4,—,4.3,—,411.4,9.6,421.0
1978–1979,261.5,29.7,74.9,13.4,22.2,26.8,8.7,—,6.3,—,443.5,10.6,454.1
1979–1980,287.4,47.7,82.7,14.4,25.4,27.3,9.4,—,12.8,—,507.1,19.5,526.6
1980–1981,345.1,56.3,97.9,18.8,29.6,33.3,11.3,—,14.6,—,606.9,23.6,630.5
1981–1982,370.9,98.7,116.1,22.9,34.4,36.2,12.2,—,21.2,—,712.5,23.7,736.2
1982–1983,438.1,146.2,141.3,27.6,43.9,41.1,14.3,—,21.0,—,873.6,26.4,900.0
1983–1984,473.5,168.7,153.4,31.3,51.6,46.7,15.0,—,26.2,—,966.4,21.1,987.5
1984–1985,497.7,169.1,166.2,31.2,59.6,51.4,15.1,—,28.7,—,"1,019.0",15.8,"1,034.8"
1985–1986,519.5,180.7,178.4,33.6,70.2,50.7,14.5,—,34.9,—,"1,082.4",41.1,"1,123.5"
