"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.11.1  Territorial government health expenditure by use of funds in millions of current dollars, Yukon, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,2.1,0.4,1.4,0.0,0.0,0.6,0.2,—,0.4,—,5.0,0.4,5.4
1975–1976,2.4,0.6,1.5,0.0,0.0,0.8,0.2,—,0.4,—,5.8,0.6,6.4
1976–1977,5.0,0.6,1.9,0.0,0.0,0.9,0.4,—,0.7,—,9.5,0.1,9.6
1977–1978,5.4,0.5,2.1,0.0,0.0,0.9,0.5,—,0.6,—,10.0,0.1,10.1
1978–1979,6.2,0.6,2.5,0.2,0.0,1.1,0.4,—,0.8,—,11.7,0.1,11.8
1979–1980,6.4,0.6,2.8,0.2,0.0,1.0,0.4,—,0.9,—,12.3,0.2,12.5
1980–1981,7.2,0.7,2.9,0.2,0.0,1.0,0.4,—,1.0,—,13.5,0.5,14.0
1981–1982,7.4,0.8,3.7,0.3,0.1,1.3,0.5,—,1.2,—,15.3,0.1,15.4
1982–1983,15.9,0.9,4.2,0.5,0.2,1.1,0.5,—,1.3,—,24.6,0.2,24.7
1983–1984,11.7,1.0,4.5,0.6,0.2,1.6,0.5,—,1.2,—,21.2,0.9,22.1
1984–1985,11.1,1.1,4.8,0.6,0.2,2.1,0.6,—,1.4,—,22.0,1.9,24.0
1985–1986,12.2,1.3,5.0,0.3,0.2,3.1,0.5,—,1.5,—,24.1,1.1,25.2
1986–1987,12.7,1.5,5.5,0.1,0.4,3.6,1.3,—,1.6,—,26.7,1.6,28.4
1987–1988,13.1,1.8,5.9,0.6,0.9,3.1,1.3,—,2.0,—,28.6,1.1,29.7
