"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.2.1.1  Provincial/territorial government health expenditure by use of funds in millions of current dollars, Canada, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,"4,184.4",620.5,"1,586.4",103.4,86.1,259.0,191.9,—,80.5,—,"7,112.2",313.7,"7,425.9"
1975–1976,"5,148.8",855.0,"1,836.2",128.7,162.1,321.5,235.8,—,117.3,—,"8,805.4",331.7,"9,137.1"
1976–1977,"5,924.8","1,045.9","2,050.1",148.1,209.7,397.1,247.9,—,146.6,—,"10,170.2",290.6,"10,460.8"
1977–1978,"6,176.1","1,217.0","2,256.2",171.4,258.5,469.2,263.3,—,184.5,—,"10,996.2",319.6,"11,315.8"
1978–1979,"6,734.4","1,416.8","2,552.5",216.4,320.4,465.2,256.1,—,218.1,—,"12,179.9",407.5,"12,587.3"
1979–1980,"7,371.7","1,635.0","2,812.4",274.3,376.2,541.3,296.1,—,284.7,—,"13,591.6",474.7,"14,066.4"
1980–1981,"8,575.7","1,881.9","3,289.0",340.3,453.5,631.8,323.6,—,356.6,—,"15,852.5",517.5,"16,369.9"
1981–1982,"10,141.9","2,232.6","3,825.0",460.2,556.0,743.3,361.1,—,487.2,—,"18,807.5",609.9,"19,417.3"
1982–1983,"12,062.4","2,625.9","4,428.3",439.5,667.1,800.3,456.3,—,513.0,—,"21,992.8",871.0,"22,863.7"
1983–1984,"12,984.6","2,842.1","5,048.8",470.6,797.1,872.0,463.5,—,598.8,—,"24,077.5",981.5,"25,059.0"
1984–1985,"13,667.3","2,937.6","5,459.3",515.0,911.0,976.9,511.4,—,658.7,—,"25,637.1","1,001.8","26,638.9"
1985–1986,"14,483.7","3,091.1","5,974.9",550.2,"1,093.8","1,084.4",548.4,—,829.3,—,"27,655.7","1,068.3","28,724.1"
1986–1987,"15,796.4","2,919.3","6,660.4",610.8,"1,289.6","1,062.9",566.6,—,"1,015.9",—,"29,921.9","1,172.0","31,093.9"
